# List of all commits from classes found during the repository mining phase (blamed or not)
28
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
0102b9db3f093b415d1a646c5d7590bd3b10d00e,true,adelbene,Seg 19-Mai-2014 22:24:55 +0200,1,2,5,8,13,-3,5,1,5596
068d7d59693689391b2f5a89ebe9cfb021fd9231,false,Martin Tzvetanov Grigorov,Dom 25-Mai-2014 22:10:47 +0200,1,4,13,5,18,8,5,1,5577
0e44f3df8b2bf1029e14babbb74af0a28d3917d4,true,svenmeier,Qua 07-Mai-2014 21:53:45 +0200,1,1,12,2,14,10,2,1,5582
1274ea5673fe5aa02ac54f40e3635050a8d67e31,false,Fridolin Jackstadt,Qui 15-Mai-2014 10:22:54 +0200,2,5,36,0,36,36,7,1,5590
1fb665336400f0f40ecbb36a642020f87e73524d,true,svenmeier,Ter 06-Mai-2014 19:01:15 +0200,1,2,106,26,132,80,4,1,5582
204849bc6046ed73f447f8daa7a1502f3e53a0fb,true,Martin Tzvetanov Grigorov,Sex 25-Abr-2014 10:29:59 +0300,1,4,21,40,61,-19,4,1,5565
234dc01def692a28365dd08bd6ffb16d0b646a3b,true,Fridolin Jackstadt,Qui 15-Mai-2014 13:57:42 +0200,1,1,6,0,6,6,1,1,5592
2f458d8cd8a20cba394cf5a2fae6e7fe3da04bd1,false,Martin Tzvetanov Grigorov,Seg 26-Mai-2014 20:45:58 +0200,1,10,527,65,592,462,13,1,5580
5a3fd0d2a3e501e3f7363293eb938ce04d7c25fc,false,bitstorm,Seg 19-Mai-2014 17:01:14 +0200,2,4,16,10,26,6,7,1,4904
5efb8091f05cc9774d340e30c912ae581bb6f5c4,true,Martin Tzvetanov Grigorov,Seg 26-Mai-2014 21:40:06 +0200,2,4,195,11,206,184,5,1,5569
62e8a42e9025498495a8d4fbde9b00e5c745334e,false,Martin Tzvetanov Grigorov,Sex 25-Abr-2014 12:02:57 +0300,1,1,1,1,2,0,1,1,0
813c0964cf8ba27aa69970e389f07b0141e44770,false,Martin Tzvetanov Grigorov,Ter 22-Abr-2014 12:05:02 +0300,1,1,30,0,30,30,1,1,5563
847bff720eed8a779accb2d51ac34f446d5ab7db,true,Martin Tzvetanov Grigorov,Dom 27-Abr-2014 20:40:34 +0200,2,3,25,11,36,14,5,1,5498
84e437ef64f38a56998d7ff2dd9c4149d23c2d1d,false,Martin Tzvetanov Grigorov,Sex 30-Mai-2014 10:30:29 +0200,1,1,1,1,2,0,1,1,0
aa82ccfcff94c0a83daf86c8cfd806206e9c6a52,true,bitstorm,Seg 05-Mai-2014 16:27:44 +0200,2,3,45,7,52,38,6,1,5560
af400d80f33c3fe2d25712cc4f42681e110a6df9,false,Martin Tzvetanov Grigorov,Ter 27-Mai-2014 15:06:53 +0200,1,1,4,9,13,-5,1,1,0
b5874d796bc42a2107edf2c79ab540409d473957,true,Martin Tzvetanov Grigorov,Sex 25-Abr-2014 12:03:09 +0300,1,1,14,10,24,4,2,1,5553
bf949e5d5e6778e152e86e7add752da38c58473b,false,Martin Tzvetanov Grigorov,Ter 29-Abr-2014 22:11:48 +0200,1,1,1,1,2,0,1,1,0
ccff0802a729bc10d84ed876ec08d408efc377af,false,Martin Tzvetanov Grigorov,Seg 19-Mai-2014 18:38:01 +0300,2,6,216,155,371,61,8,1,5577
cd24f18a2f2667857a5e5b86744bf1e129d7bba8,true,Martin Tzvetanov Grigorov,Ter 20-Mai-2014 23:01:10 +0300,3,3,76,11,87,65,8,1,5581
cd414fa5b5c88b39b11938cdbf40571f4a2df153,true,Martin Tzvetanov Grigorov,Sex 25-Abr-2014 11:18:15 +0300,2,2,5,3,8,2,3,1,5572
cdb1304189ca452eff0dc0bdc971994a55a03c72,true,Martin Tzvetanov Grigorov,Qua 07-Mai-2014 10:37:38 +0300,1,1,1,1,2,0,1,1,5579
d66d2e3a4f2f2e5cff7721ab2e44a72c7b018a2e,false,Martin Tzvetanov Grigorov,Seg 02-Jun-2014 09:42:51 +0200,1,1,9,7,16,2,1,1,0
e2376fe5e84c7e4d6ed91fe2463b08adc8bb58a3,false,Martin Tzvetanov Grigorov,Sex 25-Abr-2014 11:17:28 +0300,1,1,2,1,3,1,1,1,0
e613e28b860ab6d7b140c0d746ea3b7442dc1751,true,bitstorm,Seg 05-Mai-2014 00:38:40 +0200,1,3,14,15,29,-1,4,1,5565
e6e3cefa983248465060ff511d523bf1b9fd2335,false,Martin Tzvetanov Grigorov,Ter 27-Mai-2014 14:55:32 +0200,1,1,2,2,4,0,1,1,0
f29fe6f7c4bbf7ffb2fcda8cfd8356639179f731,false,bitstorm,Ter 13-Mai-2014 23:13:42 +0200,1,28,105,50,155,55,28,1,4904
f854896f6a8230eb8181976b15fe09e87ac30a71,false,Martin Tzvetanov Grigorov,Qua 07-Mai-2014 10:36:33 +0300,1,1,4,4,8,0,2,1,0
