# List of all commits from classes found during the repository mining phase (blamed or not)
52
revision,authorexpertise,daysbeforerelease,bug,author,date,packages,files,insertions,deletions,churns,deltalines,hunks,issues,listissues
b5971484a57212a39af6f70267ea00a24fdbf100,2842,49,false,Greg Wilkins,Qua 06-Ago-2014 10:50:55 +1000,9,14,123,17,140,106,23,1,0
bbd61f8e192b0af9cf7c4aae51a65e5cd07c863c,2724,105,false,Greg Wilkins,Qua 11-Jun-2014 15:16:40 +0200,6,18,601,570,1171,31,55,1,0
bec34b460fc370d10b3bc92bee5a09a1787c6f8f,2839,50,false,Greg Wilkins,Ter 05-Ago-2014 17:26:27 +1000,5,37,265,157,422,108,78,1,0
c319c1912574f968107ec60d58f8bcabc6a7db2b,2725,105,false,Greg Wilkins,Qua 11-Jun-2014 16:53:17 +0200,2,5,216,119,335,97,29,1,0
c80f5561392d951c36ad922146228378ecb27e43,2904,15,false,Greg Wilkins,Ter 09-Set-2014 15:13:46 +0200,1,1,1,1,2,0,1,1,0
c8ee504291a6f1079039fa606e8ded6bd0fd7444,2756,83,false,Greg Wilkins,Qui 03-Jul-2014 15:53:12 +1000,1,1,4,0,4,4,1,1,0
cd59d0085ed5f3a224984795a3daf353fd8d1b0c,2834,53,false,Greg Wilkins,Sáb 02-Ago-2014 15:40:15 +1000,2,4,87,55,142,32,14,1,0
d19eef34035b3afcdf45ccd49bd191d3146f600b,2693,112,false,Greg Wilkins,Qua 04-Jun-2014 12:05:31 +0200,2,6,152,5,157,147,9,1,0
d45a5c861c88e35513b79e97fc56fd3a1fa5731d,1567,14,false,Simone Bordet,Qua 10-Set-2014 10:39:15 +0200,1,1,11,5,16,6,5,1,0
d7f2c42e2d1a0af6e7786537fb13a0afed6f9403,2836,50,false,Greg Wilkins,Ter 05-Ago-2014 12:55:12 +1000,2,7,160,114,274,46,24,1,0
d7fbd89a75b915cb62154f327d3b6b0bd6ba2fcc,2705,107,false,Greg Wilkins,Seg 09-Jun-2014 01:11:04 +0200,2,7,332,28,360,304,15,1,0
d8e6331434fbb6025301f06f03230c6f6cad7676,2887,28,true,Greg Wilkins,Qua 27-Ago-2014 17:33:27 +1000,2,3,23,55,78,-32,8,1,442477
e5c1d66916549c0b796d1ae17c6b8609d5338b8d,2882,33,false,Greg Wilkins,Sex 22-Ago-2014 16:25:20 +1000,2,3,16,8,24,8,3,1,0
eaf374fa582e07f6d49184b09d72dfe84d7ace1e,2810,61,false,Greg Wilkins,Sex 25-Jul-2014 17:28:35 +1000,7,15,213,153,366,60,59,1,0
f594a6fc661ae3590c8fdb9e5255e1b7b65f8229,2763,75,false,Greg Wilkins,Sex 11-Jul-2014 16:08:18 +1000,1,2,219,15,234,204,3,1,0
fd1c9dd8d2c298ba66ae1b3b98bc85719cdefb41,1570,14,false,Simone Bordet,Qua 10-Set-2014 16:34:25 +0200,1,2,201,56,257,145,8,1,443713
