degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,269f6a2a5d8ed3746e1248e61aa4ee0230983819,false,1,3,1,136,19,155,117,17,15,2
false,26b3d2abc95780816290113ee4b8f233ca92249f,false,2,4,1,28,0,28,28,4,23,4
false,26bd6849d5ebaebb1d5b8033ae43c0dba3266008,false,1,1,1,1,2,3,-1,1,12,4
false,279cf5cee1d284b041f34783fd3d31649919d46d,false,1,1,1,2,2,4,0,2,10,2
false,27ac13df10ffc225091f8c0b6c77aa65e4a61034,false,6,15,1,31,108,139,-77,28,11,4
false,28a1637874300d3d8feefecffdb9e8565e3171e9,false,1,1,1,3,7,10,-4,3,14,3
false,296d552d7b0be2efd3ac7a691a8fd401e51496b6,true,2,11,1,413,0,413,413,11,13,2
false,29b26ffffdd619f4e2fe86aa2d2b02ff3e1d6017,false,2,3,1,189,8,197,181,9,12,4
false,2a77821ae08cb5880060e885ffaf1934891d79a0,true,1,2,1,59,59,118,0,3,11,4
false,2aa64cd5067c03723c3dcc28fb002fc322be6f69,false,2,2,1,26,3,29,23,4,9,4
false,2b1ce91d6485d62bc58390f2b4dd0fc8a397b134,true,1,2,1,2,6,8,-4,2,11,5
false,2bd223436bfb8f5993c13f8cbe37d755fec10501,false,19,22,1,59,59,118,0,59,14,5
false,2bd971ad723cd9ad2c10d868149d677dcb6abab3,false,3,10,1,131,9,140,122,28,11,3
false,2c6264508805a6a41f053cdd010def32422d6f5a,false,3,6,1,41,18,59,23,11,12,5
false,2c81b6335197ce0a1d8c2ec1f5f1dc4fe7f2f587,false,1,1,1,5,5,10,0,3,10,3
false,2d78595d58b971fadad3afcffcf3fde4475baf53,false,1,1,1,2,1,3,1,2,9,3
false,2e272d08da007018734c3339c0fcea6c07b2a340,false,1,1,1,5,3,8,2,2,13,6
false,2e57d8db33b88889413f1396dbd4389904cf7e7f,false,3,6,1,128,23,151,105,14,0,7
