# List of all commits from classes found during the repository mining phase (blamed or not)
103
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
623da39243372d2e5a93d7e2ead8c47921929d59,false,Carl-Eric Menzel,Sáb 27-Set-2014 21:24:00 +0200,1,3,264,4,268,260,9,2,5677:6
65384568a100ad9601f1ca880270ef9553d22324,false,Martin Tzvetanov Grigorov,Qui 25-Set-2014 19:56:16 +0200,4,4,5,48,53,-43,7,1,0
6731e45a32160884305164fdf33959418773b23a,false,Martin Tzvetanov Grigorov,Sex 08-Ago-2014 13:43:43 +0200,1,1,15,16,31,-1,1,1,0
69eed82db533f7de8b70c4a2ed808716941c3303,false,Martin Tzvetanov Grigorov,Qua 27-Ago-2014 12:22:28 +0300,1,1,1,1,2,0,1,1,0
6f504037f4534ac874dc8507df508ee676b20ff5,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 17:23:36 +0300,1,1,5,4,9,1,4,1,0
71674df5c8905c425152038281379027de89cf9b,true,Andrea Del Bene,Dom 26-Out-2014 14:33:06 +0100,1,2,50,5,55,45,4,2,5734:4441
763127d5e9f6b4ddae4fd04c68e37b6222f8318d,true,Martin Tzvetanov Grigorov,Sex 14-Mar-2014 11:11:39 +0200,1,1,1,5,6,-4,1,1,5241
76433a76288cf3ac336676c81c400a556f6dc5a3,false,Martin Tzvetanov Grigorov,Seg 11-Ago-2014 15:19:23 +0200,2,4,155,7,162,148,11,1,5669
78f426893e74b2f4db021115de605e34e0594431,false,Martin Tzvetanov Grigorov,Ter 22-Jul-2014 15:29:21 +0300,1,2,30,1,31,29,2,1,5640
8489bcbebfef5a5096b24c0543d2b767c98f325e,true,Guillaume Smet,Qua 01-Out-2014 01:42:27 +0200,1,2,91,6,97,85,11,1,5717
876064cae6c2d4ebc8a35f3f96333ee438179074,false,Jesse Long,Qui 16-Out-2014 16:04:57 +0200,1,5,178,22,200,156,6,1,0
8953bd2cb91f8b62d4f26395156986b19e161720,true,adelbene,Qua 15-Out-2014 12:14:45 +0200,2,2,61,69,130,-8,8,1,5724
8f4a1398026ce8d5eda836bb5604237f9cdb294e,false,adelbene,Dom 14-Set-2014 19:24:30 +0200,1,1,31,23,54,8,4,1,0
90b7ca90d3c1afe5dfbbc1672d9410484790414a,true,Martin Tzvetanov Grigorov,Qui 24-Jul-2014 14:26:08 +0300,1,1,3,2,5,1,1,1,5643
93d8aac7c4e962da72cf70e3e88142a302ae94d1,false,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 17:04:38 +0200,1,1,1,1,2,0,1,1,0
95c2579ace678903b2e63023ced97be4877b6889,false,Roman Grigoriadi,Ter 28-Out-2014 07:19:15 +0100,4,12,182,40,222,142,39,1,5735
96b90813bc042564a00ee12ff297f6b50b1b1bd3,false,Martin Tzvetanov Grigorov,Qua 26-Fev-2014 17:17:16 +0200,1,4,207,2,209,205,4,1,5340
999182fe5cd1e116273882bfe37101493617400d,false,Martin Tzvetanov Grigorov,Qui 24-Jul-2014 11:18:16 +0300,2,2,3,3,6,0,2,1,0
9d495f38f15c50deb65e94d9d039e3317062cd50,false,Jesse Long,Ter 14-Out-2014 22:30:12 +0200,1,3,117,56,173,61,14,1,0
a04e38d8684e05fe3a39d7a370d208be1601daaf,false,Martin Tzvetanov Grigorov,Seg 13-Out-2014 10:05:50 +0300,1,1,6,3,9,3,2,1,5708
a3de74a9c7b2df211d3c3064b23d00385af3d5e3,false,Martin Tzvetanov Grigorov,Seg 22-Set-2014 10:05:21 +0200,1,2,3,3,6,0,3,1,0
a9e82296a772d35b5d07900d5946e2cbdeb05a64,true,Jesse Long,Qua 15-Out-2014 09:25:08 +0200,1,1,2,0,2,2,1,1,5569
ad0cdb01ea203e25a46a226e8bf915691ec94039,false,Martin Tzvetanov Grigorov,Ter 23-Set-2014 13:56:04 +0200,1,1,3,3,6,0,2,1,0
