# List of all commits from classes found during the repository mining phase (blamed or not)
322
revision,authorexpertise,daysbeforerelease,bug,author,date,packages,files,insertions,deletions,churns,deltalines,hunks,issues,listissues
22f1e048923cf5b6e020a81b66e0a8512c24fe79,2168,311,false,Martin Tzvetanov Grigorov,Qui 13-Jun-2013 12:46:09 +0300,151,1104,59880,36174,96054,23706,2679,1,3347
23bab6d4a538b03ab92d84a2f1982c510468a199,129,249,true,Emond Papegaaij,Qua 14-Ago-2013 15:01:33 +0200,1,1,1,1,2,0,1,1,5316
23f3c9ad7778bd0155957c335f12c903c436d10a,319,206,true,svenmeier,Qui 26-Set-2013 12:03:46 +0200,1,1,30,32,62,-2,11,1,5374
24cd9ef95d710beb574f0d702e7a2c87bb1a1276,2116,332,false,Martin Tzvetanov Grigorov,Qui 23-Mai-2013 17:38:13 +0300,2,2,10,13,23,-3,8,1,0
25016d10b9762682d783252b0ded2697def9e870,2686,41,true,Martin Tzvetanov Grigorov,Seg 10-Mar-2014 17:55:05 +0200,3,3,14,8,22,6,5,1,5527
255b60246d8f16d0d353482cf536adc962406496,315,215,false,svenmeier,Ter 17-Set-2013 11:22:53 +0200,1,1,184,180,364,4,14,1,0
25a34cc03c7b5e86f964a97c9d3b043b8a8ff71e,2563,79,false,Martin Tzvetanov Grigorov,Sex 31-Jan-2014 14:07:54 +0100,2,2,4,12,16,-8,4,1,0
26b3d2abc95780816290113ee4b8f233ca92249f,2148,325,false,Martin Tzvetanov Grigorov,Qua 29-Mai-2013 23:57:22 +0300,2,4,28,0,28,28,4,1,5213
27ac13df10ffc225091f8c0b6c77aa65e4a61034,2111,340,false,Martin Tzvetanov Grigorov,Qua 15-Mai-2013 11:14:56 +0300,6,15,31,108,139,-77,28,1,5189
28a1637874300d3d8feefecffdb9e8565e3171e9,2605,61,false,Martin Tzvetanov Grigorov,Ter 18-Fev-2014 14:48:25 +0200,1,1,3,7,10,-4,3,1,0
296d552d7b0be2efd3ac7a691a8fd401e51496b6,2443,146,true,Martin Tzvetanov Grigorov,Seg 25-Nov-2013 13:29:58 +0100,2,11,413,0,413,413,11,1,5417
29b26ffffdd619f4e2fe86aa2d2b02ff3e1d6017,2487,123,false,Martin Tzvetanov Grigorov,Qua 18-Dez-2013 12:39:57 +0200,2,3,189,8,197,181,9,1,4762
2a77821ae08cb5880060e885ffaf1934891d79a0,2064,354,true,Martin Tzvetanov Grigorov,Qua 01-Mai-2013 11:29:28 +0200,1,2,59,59,118,0,3,1,4664
2b1ce91d6485d62bc58390f2b4dd0fc8a397b134,2508,101,true,Martin Tzvetanov Grigorov,Qui 09-Jan-2014 11:46:41 +0200,1,2,2,6,8,-4,2,1,5043
2bd223436bfb8f5993c13f8cbe37d755fec10501,2732,24,false,Martin Tzvetanov Grigorov,Qui 27-Mar-2014 14:11:23 +0100,19,22,59,59,118,0,59,1,0
2bd971ad723cd9ad2c10d868149d677dcb6abab3,2476,124,false,Martin Tzvetanov Grigorov,Ter 17-Dez-2013 11:18:02 +0200,3,10,131,9,140,122,28,1,5446
2c6264508805a6a41f053cdd010def32422d6f5a,2495,122,false,Martin Tzvetanov Grigorov,Qui 19-Dez-2013 12:07:53 +0200,3,6,41,18,59,23,11,1,663
2c81b6335197ce0a1d8c2ec1f5f1dc4fe7f2f587,2362,208,false,Martin Tzvetanov Grigorov,Ter 24-Set-2013 10:47:17 +0200,1,1,5,5,10,0,3,1,0
2d5778d58923fe4cd6ee3f7dcb5ad490f5ee3ec3,2692,39,false,Martin Tzvetanov Grigorov,Qua 12-Mar-2014 11:59:21 +0200,1,1,10,1,11,9,1,1,5531
2e272d08da007018734c3339c0fcea6c07b2a340,2512,100,false,Martin Tzvetanov Grigorov,Sex 10-Jan-2014 13:22:21 +0200,1,1,5,3,8,2,2,1,0
2e57d8db33b88889413f1396dbd4389904cf7e7f,2860,64,false,Igor Vaynberg,Sáb 15-Fev-2014 00:40:48 -0800,3,6,128,23,151,105,14,1,3335
329b9454abeabe947c1ed4b54c496cd7a6eb714f,2722,32,true,Martin Tzvetanov Grigorov,Qua 19-Mar-2014 17:30:49 +0200,1,1,2,2,4,0,1,1,5537
333b4cd2c03f5c24445bbb35773924b487929c54,2460,132,false,Martin Tzvetanov Grigorov,Seg 09-Dez-2013 14:10:56 +0200,1,1,5,3,8,2,2,1,0
3441330f4683de8dbee23c1784731565eaf8ec6e,2209,305,false,Martin Tzvetanov Grigorov,Qua 19-Jun-2013 10:26:05 +0200,17,34,44,48,92,-4,39,1,5201
34c8dce1377631c652f8d39a4f272b865d207ede,2378,205,false,Martin Tzvetanov Grigorov,Sex 27-Set-2013 13:13:10 +0200,1,1,2,2,4,0,1,1,0
34eaca28eb661b51f2937c14f8a48c32b438851d,2493,122,false,Martin Tzvetanov Grigorov,Qui 19-Dez-2013 12:02:27 +0200,3,6,9,11,20,-2,10,1,0
3b288e37ca3b2ebb10e6c9ba4b5e869411cc17a4,2307,262,false,Martin Tzvetanov Grigorov,Qui 01-Ago-2013 11:21:04 +0200,2,3,2,2,4,0,2,1,0
3da1d656cd4c85efe0919d1a32c33b300ef35490,3,570,false,Michael Mosmann,Qua 26-Set-2012 22:09:58 +0200,1,1,110,95,205,15,1,1,0
3e38950a11c5e81477771b4a4963279654958417,20,256,true,Carl-Eric Menzel,Qua 07-Ago-2013 19:33:05 +0200,1,1,1,1,2,0,1,1,5308
3ecbe996ed8adc6f20fc42e5e50e0f189bc2c128,334,143,false,svenmeier,Qui 28-Nov-2013 20:35:44 +0100,32,91,3126,3126,6252,0,107,1,5410
3eeba1d369ac534f8af4dd39fc51a3591bf4ddba,2079,353,false,Martin Tzvetanov Grigorov,Qui 02-Mai-2013 15:59:41 +0200,1,2,25,28,53,-3,6,1,0
3fc7234ea6ee62617052ade8605c71d7818cbf9b,2348,216,true,Martin Tzvetanov Grigorov,Seg 16-Set-2013 11:25:30 +0300,1,2,15,7,22,8,2,1,5345
40f00247875f91ba92cd01e075adb652510c3123,2433,151,false,Martin Tzvetanov Grigorov,Qua 20-Nov-2013 14:51:01 +0200,1,1,19,4,23,15,3,1,5420
