287
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,47e3b9870b65a86977047691264e39099ef577fa,2358,209,false,1,1,1,2,2,4,0,1,13,2
false,484415796aab76fc4f635b375cbf2b0cd604457f,2410,159,false,1,3,1,50,3,53,47,3,10,3
false,4869f24da043b00f0f7d5bd2eea5b9d85aac8d42,357,52,true,1,1,1,18,18,36,0,2,16,5
false,4c43ad591c86e26d7b8dd7a3e82913313e7e7fa0,2092,349,false,1,2,1,3,6,9,-3,4,14,2
false,4cfea09f089f7e1ae859e2bc0be560666409ec7d,2370,206,false,1,1,1,3,3,6,0,3,16,5
false,4f9aa2d95ff064d81c49229b3c94d9c6a959cd36,2530,95,true,2,2,1,13,2,15,11,2,12,4
false,53d9fae5d9886bce65c5e6f360a4294791bd762a,129,249,true,1,1,1,45,25,70,20,4,14,4
false,56169634c82a58b2dc5c071fb8f1e80a531eaf56,2176,310,true,1,2,1,67,1,68,66,3,16,6
false,58422ac7732429d48c783cf8f5899f8764f7002b,2558,80,true,1,1,1,2,1,3,1,1,9,5
false,59b3e318762733adea00cfe3b31c5dd25e4d2147,2666,45,false,1,1,1,21,21,42,0,1,10,5
false,59ddcddde2286c5825715c04f5a803466335925b,2338,230,false,1,1,1,61,20,81,41,12,12,2
false,5aba89bc8c2c8eb8ecef93ea641061e484d38a41,2224,303,false,5,8,1,27,27,54,0,21,14,6
false,5ac5a36a90710a4f9a7ed62273d55dc158d5f1ce,2260,297,false,11,15,1,144,408,552,-264,27,17,5
false,5bdc0f44bac4dcba1e9cdcf35de2ac319b342bc4,3,353,false,1,4,1,42,14,56,28,9,20,5
false,5cdd8624c28814dfb7920bffcadda28eeccb0006,2416,159,false,3,5,1,44,106,150,-62,13,11,3
false,61122bab26db4ae3ad651f8d9794f4e0e865e6e2,318,212,true,1,2,1,81,53,134,28,30,21,6
false,629d591630a0e70e9e7d17a3ad87c223232f7762,2536,94,false,8,8,1,73,85,158,-12,21,15,5
false,62a1a94f854eb2e2ecba06092b77ee2668529ff3,2856,145,false,1,1,1,3,1,4,2,2,8,3
false,63d529ae752c0f9c1ad8006bf6740cd5c8229bfc,2664,45,false,1,1,1,1,2,3,-1,1,10,5
false,6568ce556ae73ccd739c295b113025e0a794fef9,2360,209,false,1,1,1,4,4,8,0,4,18,2
false,6759a5b45a9798e7d43d6292ce9a3534f111c05b,2332,244,true,1,2,1,58,157,215,-99,15,22,2
false,69042ca514124d60440980cf96d2d93fc6259be5,2131,328,true,2,5,1,7,9,16,-2,8,20,2
false,690cca0d50d611bbe1a08015e39fb8795cc6e7c9,282,311,false,9,42,1,265,317,582,-52,56,21,5
false,69530253d3d5170ae5adfb3b7050786ed3b3ff90,2494,122,false,2,2,1,5,4,9,1,5,12,5
false,69532d82c18ed612feba5002c55906a0ad45f373,2356,209,false,1,1,1,1,2,3,-1,1,13,2
false,697b87eb75f663fdc9ebe06a389a026254d196d0,2539,93,false,2,5,1,215,0,215,215,7,13,6
