# Unchanged scenarios (UTest P-Value)
112
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for DispatcherTest.testInclude;0.2739755527359643;0.25683925795785656;9648851.7;1.17909742E7;10;10;2142122.5
Entry point for AsyncServletTest.testFwdWrapStartDispatch;0.37790774893196666;0.19876460637323523;2.93767741E7;3.1124275E7;10;10;1747500.8999999985
Entry point for ServletHandlerTest.testAddFilterIgnoresDuplicates;0.6549157020354583;0.8205958397554409;1109940.6;1015442.8;10;10;-94497.80000000005
Entry point for ServletHandlerTest.testMatchAfterAndBefore;0.7476958335016076;0.5967012167293564;5108412.9;5747876.8;10;10;639463.8999999994
Entry point for DefaultServletRangesTest.testPrefixRangeRequests;0.2301792175393037;0.25683925795785656;1.83131131E7;1.60344585E7;10;10;-2278654.6000000015
Entry point for AsyncServletTest.testStartOnTimeoutErrorDispatch;0.56022964936393;0.7054569861112734;2.107081255E8;2.112885079E8;10;10;580382.400000006
Entry point for DefaultServletTest.testIfETagSmall;0.36428506684093387;0.5453496680111235;3.15858462E7;3.68684658E7;10;10;5282619.599999998
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;0.8143751281539087;0.5967012167293564;4526598.5;4275447.5;10;10;-251151.0
Entry point for DispatcherTest.testWrappedForwardToResourceHandler;0.5023193374211816;0.5453496680111235;8869173.9;1.03428811E7;10;10;1473707.1999999993
Entry point for AsyncContextTest.testStartFlushCompleteThrow;0.08295342064056119;0.8798291600118298;6140679.2;1.03976856E7;10;10;4257006.399999999
Entry point for DispatcherTest.testForwardFilterToRogerServlet;0.7082981523823253;0.9577911772450389;4.3464448428571425E7;4.5342862777777776E7;7;9;1878414.3492063507
Entry point for AsyncServletTest.testStartComplete;0.18260470454036526;0.11241058465536369;5224052.4;7996588.9;10;10;2772536.5
Entry point for ServletHandlerTest.testAllBeforeFilterMappings;0.21369736008203477;0.5967012167293564;1260788.1;1877416.2;10;10;616628.0999999999
Entry point for DefaultServletTest.testListingWithSession;0.4310044699874741;0.9397429895770734;1.25888811E7;1.49925098E7;10;10;2403628.700000001
Entry point for AsyncServletIOTest.testEmpty;0.829332265888608;0.3257513544787165;9003688.6;8500072.5;10;10;-503616.0999999996
Entry point for ServletContextHandlerTest.testAddServletAfterStart;0.490051944809307;0.19876460637323523;1.88570093E7;2.03405709E7;10;10;1483561.5999999978
Entry point for ServletHandlerTest.testDuplicateMappingsForbidden;0.32366975254869934;0.8205958397554409;1823309.2;1601524.1;10;10;-221785.09999999986
Entry point for ServletHandlerTest.testAddFilterWithMappingAPI;0.23524337453403044;0.09630369202868827;1.64915367E7;1.76194734E7;10;10;1127936.6999999993
Entry point for EncodedURITest.testAsyncServletTestServlet;0.18000526694066254;0.1509269500667162;7020131.8;6110893.2;10;10;-909238.5999999996
Entry point for ResponseHeadersTest.testResponseWebSocketHeaderFormat;0.6903042622867968;0.9397429895770734;2.238150408E8;2.199926934E8;10;10;-3822347.400000006
Entry point for AsyncContextTest.testDispatchAsyncContext;0.06803458857676986;0.05878172135535886;3953072.4;4589559.3;10;10;636486.8999999999
Entry point for ServletHandlerTest.testDuplicateMappingsAllowed;0.15758577046044975;0.3643461266335529;3611054.0;5586309.8;10;10;1975255.7999999998
Entry point for DispatcherForwardTest.testQueryMergedByForwardWithQuery;0.7133019149144214;0.43857802608099994;1.73804085E7;1.54518975E7;2;2;-1928511.0
Entry point for ServletContextHandlerTest.testReplaceServletHandlerWithoutServlet;0.16609521406585825;0.17361733442494343;4.19494118E7;3.49497068E7;10;10;-6999705.0
Entry point for AsyncServletTest.testStartWaitDispatchStartComplete;0.6603045299496323;0.5967012167293564;2.94718672E7;2.88692398E7;10;10;-602627.3999999985
Entry point for PostServletTest.testDeferredBadPost;0.3630487859105258;0.3643461266335529;1.037631231E9;1.0389175791E9;10;10;1286348.1000000238
Entry point for AsyncContextTest.testExpire;0.7634446715903316;0.5967012167293564;1.104020729E8;1.101212546E8;10;10;-280818.3000000119
Entry point for ServletHandlerTest.testAddFilterIgnoresDuplicates2;0.8795507120730253;0.5967012167293564;1926334.4;1965470.4;10;10;39136.0
Entry point for DispatcherTest.testWorkingResourceHandler;0.5587577948329374;0.6501474440948545;5619674.8;6785186.0;10;10;1165511.2000000002
Entry point for AsyncContextTest.testDispatchAsyncContextEncodedPathAndQueryString;0.0627519030966081;0.08209870865427438;1.8116423E7;1.40400233E7;10;10;-4076399.6999999993
Entry point for DispatcherTest.testForwardNonUTF8;0.6205669297743774;0.49629170223109276;1.81591056E7;1.65430021E7;10;10;-1616103.5000000019
Entry point for AsyncServletTest.testWrapStartDispatch;0.182675259293559;0.5967012167293564;3.27088697E7;3.11537569E7;10;10;-1555112.8000000007
Entry point for SSLAsyncIOServletTest.testAsyncIOWritesWithAggregation;0.937043532972966;0.9784197833524485;5.9187369765E8;5.8733071015E8;20;20;-4542987.5
Entry point for ServletHandlerTest.testDuplicateMappingsSameServlet;0.5341017947183366;0.5453496680111235;3470310.9;3044114.5;10;10;-426196.3999999999
Entry point for DefaultServletTest.testCachedGzip;0.032120297047723664;0.06964240479832817;3.7751254E7;4.22478794E7;10;10;4496625.3999999985
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormReplacedByForwardWithQuery;0.8503852745704974;0.5453496680111235;2.48732423E7;2.59378995E7;10;10;1064657.1999999993
