# 1 Added members to the execution of scenario Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery
Name;Average;N
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$Source$Origin();1033.4;10
# 5 Added members to the execution of scenario Entry point for AsyncServletTest.testFwdWrapStartDispatchPath
Name;Average;N
Entry point for AsyncServletTest.testFwdWrapStartDispatchPath;3.15742023E7;10
0
# 6 Added members to the execution of scenario Entry point for AsyncServletTest.testAsyncNotSupportedAsync
Name;Average;N
Entry point for AsyncServletTest.testAsyncNotSupportedAsync;1.0104514482E9;10
1
Name;Average;N
org.eclipse.jetty.util.log.StdErrLog.isDebugEnabled();1156.5;10
# 7 Added members to the execution of scenario Entry point for AsyncServletIOTest.testReadWrite
Name;Average;N
Entry point for AsyncServletIOTest.testReadWrite;3.544928822E8;10
0
# 8 Added members to the execution of scenario Entry point for ServletHandlerTest.testAllAfterFilterMappings
Name;Average;N
Entry point for ServletHandlerTest.testAllAfterFilterMappings;926920.2;10
0
# 9 Added members to the execution of scenario Entry point for AsyncContextTest.testDispatchWithContextAsyncContext
Name;Average;N
Entry point for AsyncContextTest.testDispatchWithContextAsyncContext;4879703.7;10
11
Name;Average;N
org.eclipse.jetty.io.AbstractEndPoint.isOutputShutdown();10264.9;10
org.eclipse.jetty.util.thread.Locker$UnLock(org.eclipse.jetty.util.thread.Locker);584.8;10
org.eclipse.jetty.io.AbstractEndPoint.close();21318.1;10
org.eclipse.jetty.util.thread.Locker$Lock();541.5;10
org.eclipse.jetty.io.AbstractEndPoint.$SWITCH_TABLE$org$eclipse$jetty$io$AbstractEndPoint$State();543.4714285714285;70
org.eclipse.jetty.io.AbstractEndPoint(org.eclipse.jetty.util.thread.Scheduler);71221.9;10
org.eclipse.jetty.servlet.AsyncContextTest.readHeader(java.io.BufferedReader);10306.6;10
org.eclipse.jetty.util.thread.Locker$UnLock.close();14316.066666666668;30
org.eclipse.jetty.io.AbstractEndPoint.onOpen();17479.6;10
org.eclipse.jetty.io.AbstractEndPoint.close(java.lang.Throwable);10149.0;10
org.eclipse.jetty.io.AbstractEndPoint.isOpen();14926.480000000001;50
# 10 Added members to the execution of scenario Entry point for DispatcherTest.testServletInclude
Name;Average;N
Entry point for DispatcherTest.testServletInclude;1.5105865E7;10
27
Name;Average;N
org.eclipse.jetty.io.AbstractEndPoint.close();21672.2;10
org.eclipse.jetty.http.pathmap.MappedResource.compareTo(org.eclipse.jetty.http.pathmap.MappedResource);9531.6;50
org.eclipse.jetty.http.pathmap.ServletPathSpec.assertValidServletPathSpec(java.lang.String);1471.52;50
org.eclipse.jetty.servlet.ServletHandler.newServletHolder(org.eclipse.jetty.servlet.Source);59708.0;20
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$Source$Origin();776.95;20
org.eclipse.jetty.servlet.BaseHolder(org.eclipse.jetty.servlet.Source);689.4;20
org.eclipse.jetty.http.pathmap.PathSpec.compareTo(org.eclipse.jetty.http.pathmap.PathSpec);1132.1;50
org.eclipse.jetty.http.pathmap.PathSpec.getPrefix();574.8333333333334;30
org.eclipse.jetty.http.pathmap.PathMappings.$SWITCH_TABLE$org$eclipse$jetty$http$pathmap$PathSpecGroup();625.48;50
org.eclipse.jetty.http.pathmap.PathMappings.put(org.eclipse.jetty.http.pathmap.PathSpec,java.lang.Object);89193.66;50
org.eclipse.jetty.io.AbstractEndPoint(org.eclipse.jetty.util.thread.Scheduler);42614.4;10
org.eclipse.jetty.http.pathmap.ServletPathSpec(java.lang.String);11694.84;50
org.eclipse.jetty.http.pathmap.PathSpec();531.08;50
org.eclipse.jetty.servlet.Holder(org.eclipse.jetty.servlet.Source);18058.05;20
org.eclipse.jetty.util.thread.Locker$UnLock.close();12104.4;30
org.eclipse.jetty.servlet.ServletHolder(org.eclipse.jetty.servlet.Source);888.3500000000001;20
org.eclipse.jetty.servlet.Source.getOrigin();750.3;20
org.eclipse.jetty.io.AbstractEndPoint.isOpen();13373.530612244898;49
org.eclipse.jetty.io.AbstractEndPoint.$SWITCH_TABLE$org$eclipse$jetty$io$AbstractEndPoint$State();857.2173913043478;69
org.eclipse.jetty.servlet.ServletMapping(org.eclipse.jetty.servlet.Source);686.65;20
org.eclipse.jetty.io.AbstractEndPoint.isOutputShutdown();11105.4;10
org.eclipse.jetty.util.thread.Locker$UnLock(org.eclipse.jetty.util.thread.Locker);754.2;10
org.eclipse.jetty.io.AbstractEndPoint.close(java.lang.Throwable);9650.9;10
org.eclipse.jetty.http.pathmap.MappedResource(org.eclipse.jetty.http.pathmap.PathSpec,java.lang.Object);638.38;50
org.eclipse.jetty.http.pathmap.PathMappings();84263.15;20
org.eclipse.jetty.util.thread.Locker$Lock();594.1;10
org.eclipse.jetty.io.AbstractEndPoint.onOpen();10104.4;10
# 11 Added members to the execution of scenario Entry point for AsyncServletTest.testFwdStartDispatch
Name;Average;N
Entry point for AsyncServletTest.testFwdStartDispatch;2.81355517E7;10
0
# 12 Added members to the execution of scenario Entry point for ErrorPageTest.testErrorException
Name;Average;N
Entry point for ErrorPageTest.testErrorException;2.083244377E8;10
75
Name;Average;N
org.eclipse.jetty.io.AbstractEndPoint$State.values();8868.6;10
org.eclipse.jetty.http.HttpParser.parseNext(java.nio.ByteBuffer);4800161.7;10
org.eclipse.jetty.util.log.StacklessLogging(java.lang.Class[]);4344818.9;10
org.eclipse.jetty.io.AbstractEndPoint.$SWITCH_TABLE$org$eclipse$jetty$io$AbstractEndPoint$State();22795.325;40
org.eclipse.jetty.http.HttpField.toString();19635.801282051303;1560
org.eclipse.jetty.util.ArrayTrie.getBest(java.nio.ByteBuffer,int,int);74824.35;20
org.eclipse.jetty.http.Http1FieldPreEncoder.getEncodedField(org.eclipse.jetty.http.HttpHeader,java.lang.String,java.lang.String);26914.307407407407;540
org.eclipse.jetty.http.HttpParser.setHeadResponse(boolean);4906.4;10
org.eclipse.jetty.io.AbstractEndPoint.onOpen();32735.1;10
org.eclipse.jetty.io.ByteArrayEndPoint.waitForOutput(long,java.util.concurrent.TimeUnit);1.149733855E8;10
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1(org.eclipse.jetty.server.LocalConnector.LocalEndPoint);2549.0;10
org.eclipse.jetty.util.log.StacklessLogging.close();45555.8;10
org.eclipse.jetty.server.LocalConnector.getResponse(java.lang.String,boolean,long,java.util.concurrent.TimeUnit);1.98141124E8;10
org.eclipse.jetty.http.HttpParser.convertContentLength(java.lang.String);48428.4;10
org.eclipse.jetty.http.HttpParser$State(java.lang.String,int);389.768;250
org.eclipse.jetty.util.thread.Locker$UnLock.close();39100.85;20
org.eclipse.jetty.http.HttpParser(org.eclipse.jetty.http.HttpParser.ResponseHandler,int,org.eclipse.jetty.http.HttpCompliance);3537261.7;10
org.eclipse.jetty.http.HttpHeader.values();3616.95;20
org.eclipse.jetty.http.HttpParser.compliance();23485.5;10
org.eclipse.jetty.http.HttpParser.next(java.nio.ByteBuffer);15878.62599999998;500
org.eclipse.jetty.http.HttpParser.setState(org.eclipse.jetty.http.HttpParser.State);977.269230769231;130
org.eclipse.jetty.util.ByteArrayOutputStream2();3005.1;10
org.eclipse.jetty.util.ByteArrayOutputStream2.getBuf();655.9;10
org.eclipse.jetty.util.ArrayTrie(int);29945.7;10
org.eclipse.jetty.util.ArrayTrie.getBest(int,byte[],int,int);15162.599999999999;40
org.eclipse.jetty.http.HttpParser.parseHeaders(java.nio.ByteBuffer);2147847.6;10
org.eclipse.jetty.io.AbstractEndPoint(org.eclipse.jetty.util.thread.Scheduler);1.14491091E7;10
org.eclipse.jetty.http.HttpField.getHeader();3141.9;20
org.eclipse.jetty.http.HttpVersion.lookAheadGet(java.nio.ByteBuffer);150356.5;10
org.eclipse.jetty.util.BufferUtil.isEmpty(java.nio.ByteBuffer);4740.833333333333;30
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.messageComplete();5243.9;10
org.eclipse.jetty.http.HttpField(org.eclipse.jetty.http.HttpHeader,org.eclipse.jetty.http.HttpHeaderValue);1164.4666666666667;30
org.eclipse.jetty.http.HttpParser$CharState(java.lang.String,int);1257.225;40
org.eclipse.jetty.http.HttpParser.parseLine(java.nio.ByteBuffer);1557739.9;10
org.eclipse.jetty.util.log.StdErrLog.setHideStacks(boolean);586.9;20
org.eclipse.jetty.http.HttpField.getValue();323.52911392405053;1580
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.content(java.nio.ByteBuffer);5597.5;10
org.eclipse.jetty.http.HttpVersion.asString();1130.8;10
org.eclipse.jetty.http.HttpHeaderValue.asString();970.3333333333333;30
org.eclipse.jetty.http.HttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String);318.3616161616161;990
org.eclipse.jetty.http.HttpField.getName();310.9613924050632;1580
org.eclipse.jetty.http.HttpParser.quickStart(java.nio.ByteBuffer);712111.7;10
org.eclipse.jetty.server.LocalConnector.getResponse(java.lang.String);1.982116781E8;10
org.eclipse.jetty.http.HttpHeader.asString();316.54428571428565;2100
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.headerComplete();5528.2;10
org.eclipse.jetty.http.HttpParser(org.eclipse.jetty.http.HttpParser.ResponseHandler);3163.6;10
org.eclipse.jetty.util.thread.Locker$Lock();466.2;10
org.eclipse.jetty.http.HttpParser.setResponseStatus(int);6842.1;10
org.eclipse.jetty.http.HttpParser.$SWITCH_TABLE$org$eclipse$jetty$http$HttpParser$CharState();812.9520000000012;500
org.eclipse.jetty.util.AbstractTrie(boolean);589.3;10
org.eclipse.jetty.http.HttpParser.takeString();5600.300000000001;30
org.eclipse.jetty.io.AbstractEndPoint.isOpen();64939.16666666667;30
org.eclipse.jetty.util.ArrayTrie.put(java.lang.String,java.lang.Object);4657.2429487179415;1560
org.eclipse.jetty.http.PreEncodedHttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String);338.25740740740747;540
org.eclipse.jetty.util.Utf8Appendable(java.lang.Appendable);4809.9;10
org.eclipse.jetty.io.AbstractEndPoint$State(java.lang.String,int);748.6666666666667;60
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.startResponse(org.eclipse.jetty.http.HttpVersion,int,java.lang.String);10319.1;10
org.eclipse.jetty.util.Utf8StringBuilder(int);5074.5;10
org.eclipse.jetty.http.HttpHeader.getBytesColonSpace();333.1722222222222;1080
org.eclipse.jetty.io.AbstractEndPoint.isOutputShutdown();12645.5;10
org.eclipse.jetty.http.HttpParser$State.values();9448.9;10
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.parsedHeader(org.eclipse.jetty.http.HttpField);2860.7;20
org.eclipse.jetty.http.HttpParser.$SWITCH_TABLE$org$eclipse$jetty$http$HttpTokens$EndOfContent();846.8;10
org.eclipse.jetty.http.HttpParser.$SWITCH_TABLE$org$eclipse$jetty$http$HttpHeader();107187.5;20
org.eclipse.jetty.util.thread.Locker$UnLock(org.eclipse.jetty.util.thread.Locker);502.5;10
org.eclipse.jetty.util.ByteArrayOutputStream2.getCount();927.1;20
org.eclipse.jetty.http.HttpParser.parseContent(java.nio.ByteBuffer);153070.2;10
org.eclipse.jetty.http.HttpVersion.lookAheadGet(byte[],int,int);7487.4;10
org.eclipse.jetty.http.PreEncodedHttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String,java.lang.String);55416.194444444445;540
org.eclipse.jetty.util.log.StdErrLog.isHideStacks();802.7;10
org.eclipse.jetty.http.HttpField(org.eclipse.jetty.http.HttpHeader,java.lang.String,java.lang.String);460.76835443037965;1580
org.eclipse.jetty.http.HttpParser.$SWITCH_TABLE$org$eclipse$jetty$http$HttpParser$State();786.4212765957458;470
org.eclipse.jetty.http.HttpParser.parsedHeader();151154.7666666667;30
org.eclipse.jetty.util.AbstractTrie.put(java.lang.Object);47762.933333333334;1560
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitForResponse(boolean,long,java.util.concurrent.TimeUnit);1.600739348E8;10
# 13 Added members to the execution of scenario Entry point for AsyncServletIOTest.testRead
Name;Average;N
Entry point for AsyncServletIOTest.testRead;3.037752041E8;10
0
# 14 Added members to the execution of scenario Entry point for AsyncServletIOTest.testAsyncConsumeAll
Name;Average;N
Entry point for AsyncServletIOTest.testAsyncConsumeAll;6662498.7;10
0
# 15 Added members to the execution of scenario Entry point for GzipHandlerTest.testGzipHandler
Name;Average;N
Entry point for GzipHandlerTest.testGzipHandler;2.23793176E7;10
10
Name;Average;N
org.eclipse.jetty.io.AbstractEndPoint.$SWITCH_TABLE$org$eclipse$jetty$io$AbstractEndPoint$State();901.1285714285714;70
org.eclipse.jetty.util.thread.Locker$UnLock.close();8536.966666666667;30
org.eclipse.jetty.util.thread.Locker$UnLock(org.eclipse.jetty.util.thread.Locker);625.1;10
org.eclipse.jetty.io.AbstractEndPoint.isOpen();10159.14;50
org.eclipse.jetty.io.AbstractEndPoint.onOpen();9469.8;10
org.eclipse.jetty.io.AbstractEndPoint(org.eclipse.jetty.util.thread.Scheduler);36054.8;10
org.eclipse.jetty.io.AbstractEndPoint.isOutputShutdown();7080.4;10
org.eclipse.jetty.io.AbstractEndPoint.close();15547.3;10
org.eclipse.jetty.io.AbstractEndPoint.close(java.lang.Throwable);6055.7;10
org.eclipse.jetty.util.thread.Locker$Lock();1208.0;10
# 16 Added members to the execution of scenario Entry point for ServletHandlerTest.testAddFilterWithMappingIgnoresDuplicateFilters
Name;Average;N
Entry point for ServletHandlerTest.testAddFilterWithMappingIgnoresDuplicateFilters;4.270692E7;10
5
Name;Average;N
org.eclipse.jetty.servlet.BaseHolder(org.eclipse.jetty.servlet.Source);555.0;20
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$Source$Origin();503.65;20
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.Source);500.4;20
org.eclipse.jetty.servlet.Holder(org.eclipse.jetty.servlet.Source);216783.4;20
org.eclipse.jetty.servlet.Source.getOrigin();417.25;20
# 17 Added members to the execution of scenario Entry point for AsyncServletIOTest.testBigWrites
Name;Average;N
Entry point for AsyncServletIOTest.testBigWrites;2.0419595714E9;10
0
# 18 Added members to the execution of scenario Entry point for AsyncServletIOTest.testBigWrite
Name;Average;N
Entry point for AsyncServletIOTest.testBigWrite;6.12872337E7;10
0
# 19 Added members to the execution of scenario Entry point for ServletContextHandlerTest.testUtilDecorator
Name;Average;N
Entry point for ServletContextHandlerTest.testUtilDecorator;5.104241189E8;10
39
Name;Average;N
org.eclipse.jetty.http.pathmap.PathSpec();1154.8;30
org.eclipse.jetty.util.component.ContainerLifeCycle.updateBean(java.lang.Object,java.lang.Object);289934.0;10
org.eclipse.jetty.servlet.ServletMapping(org.eclipse.jetty.servlet.Source);2084.55;20
org.eclipse.jetty.servlet.BaseHolder(org.eclipse.jetty.servlet.Source);2261.7;20
org.eclipse.jetty.servlet.Source$Origin(java.lang.String,int);972.625;40
org.eclipse.jetty.io.AbstractEndPoint.close();38576.4;10
org.eclipse.jetty.io.AbstractEndPoint.onOpen();17525.2;10
org.eclipse.jetty.http.pathmap.PathSpec.getPrefix();2201.45;20
org.eclipse.jetty.http.pathmap.MappedResource.compareTo(org.eclipse.jetty.http.pathmap.MappedResource);19124.233333333334;30
org.eclipse.jetty.server.handler.ErrorHandler();8237.2;10
org.eclipse.jetty.util.thread.Locker$UnLock(org.eclipse.jetty.util.thread.Locker);621.8;10
org.eclipse.jetty.http.pathmap.ServletPathSpec.assertValidServletPathSpec(java.lang.String);4964.433333333333;30
org.eclipse.jetty.http.pathmap.PathSpecGroup(java.lang.String,int);820.5666666666667;60
org.eclipse.jetty.http.pathmap.ServletPathSpec(java.lang.String);217356.8;30
org.eclipse.jetty.io.AbstractEndPoint$State(java.lang.String,int);848.8166666666667;60
org.eclipse.jetty.servlet.Holder(org.eclipse.jetty.servlet.Source);218194.0;20
org.eclipse.jetty.io.AbstractEndPoint(org.eclipse.jetty.util.thread.Scheduler);1.02471965E7;10
org.eclipse.jetty.io.AbstractEndPoint$State.values();8752.3;10
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$Source$Origin();42013.45;20
org.eclipse.jetty.servlet.Source$Origin.values();9018.5;10
org.eclipse.jetty.http.pathmap.PathMappings.$SWITCH_TABLE$org$eclipse$jetty$http$pathmap$PathSpecGroup();24223.933333333334;30
org.eclipse.jetty.servlet.Source.getOrigin();1656.8;20
org.eclipse.jetty.server.Server.setErrorHandler(org.eclipse.jetty.server.handler.ErrorHandler);568219.4;10
org.eclipse.jetty.util.thread.Locker$UnLock.close();19285.5;30
org.eclipse.jetty.servlet.ServletHandler.newServletHolder(org.eclipse.jetty.servlet.Source);6025472.5;20
org.eclipse.jetty.io.AbstractEndPoint.isOutputShutdown();12590.8;10
org.eclipse.jetty.servlet.Source(org.eclipse.jetty.servlet.Source.Origin,java.lang.String);2599.2;20
org.eclipse.jetty.http.pathmap.MappedResource(org.eclipse.jetty.http.pathmap.PathSpec,java.lang.Object);1823.4;30
org.eclipse.jetty.util.thread.Locker$Lock();503.3;10
org.eclipse.jetty.servlet.ServletHolder(org.eclipse.jetty.servlet.Source);3061.15;20
org.eclipse.jetty.http.pathmap.PathSpecGroup.values();8830.5;10
org.eclipse.jetty.http.pathmap.PathMappings.put(org.eclipse.jetty.http.pathmap.PathSpec,java.lang.Object);434671.73333333334;30
org.eclipse.jetty.io.AbstractEndPoint.isOpen();28603.42;50
org.eclipse.jetty.servlet.ServletHandler.isEnsureDefaultServlet();3113.5;10
org.eclipse.jetty.http.pathmap.PathSpec.compareTo(org.eclipse.jetty.http.pathmap.PathSpec);6126.9;30
org.eclipse.jetty.servlet.ServletHandler.isFilterChainsCached();3059.4;10
org.eclipse.jetty.http.pathmap.PathMappings();328983.2;20
org.eclipse.jetty.io.AbstractEndPoint.close(java.lang.Throwable);9634.4;10
org.eclipse.jetty.io.AbstractEndPoint.$SWITCH_TABLE$org$eclipse$jetty$io$AbstractEndPoint$State();11092.3;70
# 20 Added members to the execution of scenario Entry point for ErrorPageTest.testErrorCode
Name;Average;N
Entry point for ErrorPageTest.testErrorCode;9455230.5;10
52
Name;Average;N
org.eclipse.jetty.http.HttpField.getValue();454.2;30
org.eclipse.jetty.http.HttpParser.parseContent(java.nio.ByteBuffer);42390.6;10
org.eclipse.jetty.http.HttpParser.convertContentLength(java.lang.String);9406.4;10
org.eclipse.jetty.server.LocalConnector.getResponse(java.lang.String);9279825.3;10
org.eclipse.jetty.http.HttpVersion.lookAheadGet(java.nio.ByteBuffer);46003.19999999999;10
org.eclipse.jetty.io.AbstractEndPoint.$SWITCH_TABLE$org$eclipse$jetty$io$AbstractEndPoint$State();748.1794871794872;39
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.headerComplete();893.7;10
org.eclipse.jetty.http.HttpParser(org.eclipse.jetty.http.HttpParser.ResponseHandler);666.1;10
org.eclipse.jetty.http.HttpParser.setHeadResponse(boolean);832.6;10
org.eclipse.jetty.util.ArrayTrie.getBest(int,byte[],int,int);6824.966666666666;60
org.eclipse.jetty.http.HttpVersion.lookAheadGet(byte[],int,int);30124.0;10
org.eclipse.jetty.http.HttpField.getHeader();469.46666666666664;30
org.eclipse.jetty.util.BufferUtil.isEmpty(java.nio.ByteBuffer);1205.344827586207;29
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.content(java.nio.ByteBuffer);798.1;10
org.eclipse.jetty.http.HttpParser.parseNext(java.nio.ByteBuffer);3093746.0;10
org.eclipse.jetty.http.HttpParser.next(java.nio.ByteBuffer);9602.620547945187;730
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1.startResponse(org.eclipse.jetty.http.HttpVersion,int,java.lang.String);1123.4;10
org.eclipse.jetty.io.AbstractEndPoint.isOutputShutdown();7034.555555555556;9
org.eclipse.jetty.http.HttpParser.parsedHeader();28228.775;40
org.eclipse.jetty.util.thread.Locker$UnLock.close();16668.05;20
org.eclipse.jetty.util.thread.Locker$UnLock(org.eclipse.jetty.util.thread.Locker);631.8;10
org.eclipse.jetty.util.ByteArrayOutputStream2.getBuf();540.3;10
org.eclipse.jetty.http.HttpParser.parseHeaders(java.nio.ByteBuffer);1975332.3;10
org.eclipse.jetty.io.AbstractEndPoint.onOpen();11865.9;10
org.eclipse.jetty.http.HttpField.getName();523.8;30
org.eclipse.jetty.io.AbstractEndPoint(org.eclipse.jetty.util.thread.Scheduler);57186.2;10
org.eclipse.jetty.server.LocalConnector$LocalEndPoint$1(org.eclipse.jetty.server.LocalConnector.LocalEndPoint);747.5;10
org.eclipse.jetty.http.HttpParser.$SWITCH_TABLE$org$eclipse$jetty$http$HttpParser$State();414.6014492753624;690
org.eclipse.jetty.http.HttpParser.parseLine(java.nio.ByteBuffer);521778.2;10
org.eclipse.jetty.http.HttpVersion.asString();11813.5;10
org.eclipse.jetty.http.HttpParser.$SWITCH_TABLE$org$eclipse$jetty$http$HttpHeader();543.8666666666667;30
