# Degradated scenarios (UTest P-Value)
32
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for ServletContextHandlerTest.testUtilDecorator;0.05734728808416607;0.010165201891956244;4.968557346E8;5.104241189E8;10;10;1.3568384299999952E7
Entry point for ErrorPageTest.testErrorCode;5.819524640091585E-4;0.0010106816858643786;4493294.125;9455230.5;8;10;4961936.375
Entry point for DispatcherTest.testForwardToResourceHandler;0.03601619500384929;0.028365505605209895;9064835.0;1.4718891E7;10;10;5654056.0
Entry point for ServletContextResourcesTest.testGetResourceAsStream_Root;0.039046887091876384;0.03429372103649275;2.225603277E8;2.341698404E8;10;10;1.1609512700000018E7
Entry point for DispatcherTest.testIncludeToResourceHandler;0.17942532711577486;0.028365505605209895;2.36482952E7;3.69141355E7;10;10;1.32658403E7
Entry point for AsyncServletTest.testStartDispatchEncodedPath;7.552092663585289E-4;0.0014988733371517071;3.368056E7;3.89480994E7;10;10;5267539.3999999985
Entry point for DispatcherTest.testServletForwardDotDot;0.09640134988296188;0.04125001659393934;2.321955421E8;2.468387951E8;10;10;1.4643253E7
Entry point for AsyncContextListenersTest.testAsyncDispatchAsyncCompletePreservesListener;0.0032091427947706;0.0031970994479345594;6.805723128E8;7.002773777E8;10;10;1.9705064900000095E7
Entry point for AsyncServletTest.testStartOnTimeoutErrorComplete;8.93048115979506E-5;1.5705228423079642E-4;2.065378871E8;2.112236686E8;10;10;4685781.5
Entry point for DefaultServletTest.testSymLinks;3.488169915376805E-11;1.5705228423079642E-4;5.0634424E7;9.3025124E7;10;10;4.23907E7
Entry point for DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery;0.014498833881519544;0.008150971593502754;6.488121148E8;6.66911168E8;10;10;1.8099053200000048E7
Entry point for DefaultServletTest.testRangeRequests;0.03680511949634213;0.01556441138663378;3.99670542E7;4.94718336E7;10;10;9504779.399999999
Entry point for DefaultServletTest.testWelcomeServlet;0.059509917006636125;0.0493661947519326;2.965572936E8;3.058936516E8;10;10;9336358.0
Entry point for ServletHandlerTest.testDuplicateMappingsWithDefaults;0.005881613394845517;0.004071994217732744;1.94712168E7;2.34578709E7;10;10;3986654.0999999978
Entry point for DefaultServletRangesTest.testNoRangeRequests;0.0031309007243866273;5.065414846923133E-4;2.354614952E8;2.532929764E8;10;10;1.7831481200000018E7
Entry point for ServletContextHandlerTest.testFindContainer;0.02477634706323426;0.010165201891956244;4.02836217E7;5.4321182E7;10;10;1.4037560299999997E7
Entry point for DefaultServletTest.testListingProperUrlEncoding;0.041908612081795873;0.04125001659393934;1.1040829E7;1.37252474E7;10;10;2684418.4000000004
Entry point for ComplianceViolations2616Test.testNoColonHeader_Middle;0.010509649181838386;0.012611144099313965;2.19124793E8;2.26172833E8;10;10;7048040.0
Entry point for ErrorPageTest.testGlobalErrorException;0.014601153583493506;0.019109922206844376;1.24092544E7;1.59965158E7;10;10;3587261.4000000004
Entry point for AsyncContextTest.testBadExpire;1.8769862825604203E-4;0.0031970994479345594;1.108104561E8;1.133490891E8;10;10;2538633.0
Entry point for AsyncContextTest.testDispatchRequestResponse;0.03511010296597196;0.0019397281129029942;7216676.7;1.70945999E7;10;10;9877923.2
Entry point for AsyncServletTest.testStartOnTimeoutComplete;0.06532306374714893;0.023342202012890834;2.077584157E8;2.109687422E8;10;10;3210326.5
Entry point for GzipHandlerTest.testETagGzipHandler;0.015443025422705849;0.01556441138663378;2.291487119E8;2.349501943E8;10;10;5801482.400000006
Entry point for DefaultServletTest.testListingContextBreakout;0.0023282651000325017;0.0011520450981421515;5.91170561E7;7.76439574E7;10;10;1.8526901300000004E7
Entry point for ServletHolderTest.testUnloadableClassName;4.680895332955293E-6;1.5705228423079642E-4;2.010692885E8;2.092602473E8;10;10;8190958.800000012
Entry point for ServletContextHandlerTest.testReplaceServletHandlerWithServlet;0.002090200799123027;6.69729449021883E-4;1.65121789E7;3.09800366E7;10;10;1.4467857700000001E7
Entry point for PostServletTest.testBadSplitPost;4.7558932456328326E-4;6.69729449021883E-4;3.592074679E8;3.654765068E8;10;10;6269038.900000036
Entry point for AsyncServletTest.testStartTimeoutStart;2.7884635393286328E-5;2.1218287122259927E-4;3.14259064E7;4.44303786E7;10;10;1.3004472200000003E7
Entry point for AsyncContextTest.testStartCompleteThrow;0.0011482861152663048;0.005158957570721268;1.980891852E8;2.064557855E8;10;10;8366600.300000012
Entry point for PostServletTest.testGoodPost;0.3538181993023901;0.019109922206844376;2.0058041382E9;2.0073033503E9;10;10;1499212.0999999046
Entry point for ErrorPageTest.testGlobalErrorCode;3.421321579862678E-5;1.5705228423079642E-4;5465834.9;9234546.4;10;10;3768711.5
Entry point for AsyncServletIOTest.testWrite;0.0055331273313517565;0.004071994217732744;6.05003131E7;6.88874016E7;10;10;8387088.499999993
0.0
0.05
