# Degradated scenarios (UTest P-Value)
135
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for ServletContextHandlerTest.testFallThrough;5.6387072713617155E-8;1.5705228423079642E-4;4.61117221E7;1.431063162E8;10;10;9.69945941E7
Entry point for ServletContextHandlerTest.testReplaceHandler;6.157586024984038E-5;1.5705228423079642E-4;4.41494154E7;1.394883742E8;10;10;9.533895879999998E7
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormMergedByForwardWithQuery;1.1028673036979002E-5;1.5705228423079642E-4;1.90582654E7;8.25567931E7;10;10;6.3498527699999996E7
Entry point for AsyncContextListenersTest.testAsyncDispatchAsyncCompletePreservesListener;6.512208491570385E-14;1.5705228423079642E-4;6.742084446E8;1.386317905E9;10;10;7.121094604E8
Entry point for AsyncServletTest.testStartWaitDispatchStart;0.019957152787411708;0.010165201891956244;3.17292148E7;4.33454053E7;10;10;1.1616190499999996E7
Entry point for DefaultServletTest.testWelcome;4.5647522418024596E-8;1.5705228423079642E-4;2.31588155E7;4.72079099E7;10;10;2.40490944E7
Entry point for PostServletTest.testBadPost;0.00532670071907884;0.0011520450981421515;7321084.2;2.77439431E7;10;10;2.0422858900000002E7
Entry point for AsyncServletTest.testStartOnTimeoutErrorComplete;4.2859489093889784E-8;1.5705228423079642E-4;2.075299848E8;2.184524727E8;10;10;1.0922487899999976E7
Entry point for AsyncServletTest.testStartOnTimeoutError;2.481587502428456E-4;5.065414846923133E-4;2.098463026E8;2.167284574E8;10;10;6882154.800000012
Entry point for DefaultServletTest.testSymLinks;2.9396419384171444E-8;1.5705228423079642E-4;5.14360995E7;8.38179691E7;10;10;3.2381869599999994E7
Entry point for AsyncIOServletTest.testOnErrorThrows;1.491003718843125E-5;1.5705228423079642E-4;2.82418815E7;1.099214461E8;10;10;8.16795646E7
Entry point for DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery;5.089119521578815E-12;1.5705228423079642E-4;5.961221519E8;1.2432108363E9;10;10;6.470886844E8
Entry point for AsyncIOServletTest.testOnAllDataRead;0.0015690939775712962;1.5705228423079642E-4;1.1156252299E9;1.1299045233E9;10;10;1.4279293399999857E7
Entry point for DispatcherTest.testInclude;0.0010230332822950127;0.004071994217732744;1.35435778E7;2.32772876E7;10;10;9733709.8
Entry point for AsyncServletTest.testFwdWrapStartDispatch;6.637740475866972E-8;1.5705228423079642E-4;2.75534412E7;3.96760491E7;10;10;1.2122607900000002E7
Entry point for DefaultServletRangesTest.testPrefixRangeRequests;0.002430211450114032;5.065414846923133E-4;1.28305734E7;3.56248749E7;10;10;2.27943015E7
Entry point for AsyncServletTest.testAsyncNotSupportedAsync;5.354364015776553E-5;1.5705228423079642E-4;1.0117933787E9;1.029195656E9;10;10;1.7402277299999952E7
Entry point for DefaultServletTest.testRangeRequests;0.011462307726017421;3.8105845205071986E-4;4.76169185E7;8.41287125E7;10;10;3.6511794E7
Entry point for DefaultServletTest.testWelcomeServlet;3.3690650394484765E-8;1.5705228423079642E-4;2.990934367E8;6.033059237E8;10;10;3.0421248700000006E8
Entry point for AsyncServletTest.testStartOnTimeoutErrorDispatch;1.8500642876163578E-5;3.8105845205071986E-4;2.090197107E8;2.210738493E8;10;10;1.2054138600000024E7
Entry point for DefaultServletTest.testIfETagSmall;0.022053797294363076;0.0019397281129029942;3.45553561E7;6.57684844E7;10;10;3.1213128299999997E7
