# List of all commits from changed methods found during the repository mining phase (blamed or not)
19
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
041d37e0c8b3616dc86468bd2c3b6332638bdf1b,false,Trustin Lee,Seg 10-Fev-2014 14:04:47 -0800,3,3,16,9,25,7,7,1,2214
0fc66a411f6820f8ac45fc0ec3a0433c3f90db82,false,Trustin Lee,Sex 21-Fev-2014 14:42:40 -0800,1,1,2,2,4,0,2,1,0
11a235ffe94e75d23b7d745f8c3e47b031629e6a,false,Trustin Lee,Sáb 15-Fev-2014 11:24:01 -0800,1,1,84,3,87,81,8,1,0
32e28950e18287283437856738652d9f9bda8ab6,false,Norman Maurer,Seg 17-Fev-2014 16:14:25 +0100,1,1,47,46,93,1,3,1,0
3d531231fe14666e11d0ade1955d6ccaa414845a,false,Vladimir Schafer,Qui 06-Fev-2014 20:41:38 +0200,1,2,49,0,49,49,3,1,2183
62ebe88981ab42b28eafad89586307e0c249f00a,false,Norman Maurer,Qua 12-Fev-2014 15:22:39 +0100,1,1,20,11,31,9,3,1,0
64c3f58279809141a851becba445a20badc8a610,false,Norman Maurer,Qui 30-Jan-2014 20:02:15 +0100,2,3,97,27,124,70,5,1,0
69a36b8beab76ad176a20554d692e89d62f8919b,false,Norman Maurer,Qui 13-Fev-2014 06:46:51 +0100,1,1,1,1,2,0,1,1,0
7041a9238e5087efa5fb0fa3d8a5d0721eb5f610,false,Norman Maurer,Sex 07-Fev-2014 20:52:37 +0100,2,2,212,43,255,169,10,1,0
7fe10fe6354af68db42afbed6e5cff2464b9fbb2,false,Norman Maurer,Sex 21-Fev-2014 08:39:41 +0100,3,13,400,124,524,276,45,1,2254
80e6f9adf4ef7eaa273eee8818a4ffd7bb0c5d06,false,Norman Maurer,Ter 11-Fev-2014 18:08:40 +0100,2,3,75,47,122,28,6,1,0
80ed147652133ce222279f34e21f4b44e8a4a728,false,Norman Maurer,Qua 29-Jan-2014 07:18:29 +0100,1,1,1,1,2,0,1,1,2164
96b0a949e102a5766abc5e12b3392b1bf3da7005,false,Trustin Lee,Seg 10-Fev-2014 14:52:24 -0800,6,8,61,38,99,23,26,1,2214
b00e2a19d326329be9a9fd789fc26cb8e5ff7889,false,Norman Maurer,Sex 21-Fev-2014 21:42:13 +0100,2,6,139,112,251,27,16,1,2254
c538fd5098342b2d3e4278d6340e6eb0b91800e7,false,Norman Maurer,Sáb 22-Fev-2014 20:06:21 +0100,2,4,4,4,8,0,4,1,2254
d52dc3b740e778bbab60b2a7b5715ec44f31c10b,false,Trustin Lee,Seg 10-Fev-2014 15:03:46 -0800,1,1,1,1,2,0,1,1,0
f23d68b42fd71674fee6623f6779d70b6849da21,true,Norman Maurer,Sex 07-Fev-2014 09:23:16 +0100,2,2,2,39,41,-37,4,1,2187
f4074a8811c1878a01bdfaee1159a19612888177,false,Trustin Lee,Sáb 15-Fev-2014 11:31:01 -0800,1,1,4,4,8,0,2,1,0
f94b563bcd64840a9978204e75812ed182830990,false,Norman Maurer,Qui 30-Jan-2014 07:00:53 +0100,1,1,58,57,115,1,5,1,0
