degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,18611,3119,19,false,5,14,2,1411,18,1429,1393,35,13,6
false,18612,2625,18,false,2,6,1,128,93,221,35,8,11,7
false,18613,2626,18,false,1,1,1,5,2,7,3,1,11,7
false,18615,3120,15,false,3,9,1,54,74,128,-20,28,8,3
false,18626,3124,13,false,1,1,1,6,13,19,-7,2,20,4
false,18628,2633,13,false,5,6,1,152,16,168,136,11,11,5
false,18631,4240,10,false,1,1,1,1,1,2,0,1,6,1
false,18632,4241,10,false,1,1,1,14,12,26,2,5,8,1
false,18635,3127,6,false,1,1,1,7,7,14,0,2,7,5
false,18641,2635,4,false,4,7,1,72,97,169,-25,10,16,7
false,18655,2649,1,false,5,6,1,79,81,160,-2,7,12,3
false,18677,2653,26,false,1,1,1,5,3,8,2,1,15,6
false,18682,2658,21,false,2,2,1,60,28,88,32,3,23,3
false,18683,3130,20,true,4,5,1,25,17,42,8,13,20,4
false,18698,2671,18,false,3,7,1,73,26,99,47,8,10,7
false,18705,2678,16,true,1,1,1,19,0,19,19,1,12,2
false,18723,2695,9,false,1,1,1,29,1,30,28,3,18,2
false,18724,2696,8,false,1,1,1,1,1,2,0,1,18,2
false,18725,3132,5,false,1,1,1,11,84,95,-73,7,7,6
false,18726,3133,5,false,4,5,1,52,33,85,19,18,8,6
false,18727,3134,5,true,3,3,1,46,6,52,40,9,8,6
false,18728,3135,5,false,5,14,1,130,65,195,65,39,9,6
false,18729,2697,5,false,11,18,1,301,183,484,118,46,16,6
false,18730,2698,4,false,1,1,1,6,3,9,3,1,3,7
false,18736,2702,2,true,1,1,1,31,26,57,5,2,16,2
false,18758,3139,26,true,2,2,1,13,4,17,9,2,12,6
false,18759,2513,26,true,1,1,1,44,15,59,29,4,17,6
false,18760,2514,25,false,10,27,1,399,319,718,80,72,5,7
false,18766,2518,24,false,1,3,1,52,11,63,41,9,23,7
false,18767,2519,24,true,1,5,1,116,15,131,101,15,23,7
false,18770,3140,23,true,1,1,1,4,9,13,-5,2,8,2
false,18786,4284,2,false,1,1,1,23,23,46,0,2,20,1
false,18816,2528,9,false,1,1,1,25,3,28,22,3,15,4
false,18846,3143,22,false,1,1,1,6,4,10,2,3,7,3
false,18852,3144,18,false,9,39,1,660,454,1114,206,158,19,7
false,18859,3145,8,false,2,4,1,1,18,19,-17,5,21,2
false,18863,385,5,false,3,3,1,36,1,37,35,3,9,6
false,18864,386,5,false,1,2,1,22,0,22,22,2,9,6
false,18875,2742,4,false,1,2,1,22,8,30,14,3,17,7
false,18876,2743,4,false,1,1,1,15,1,16,14,2,17,7
false,18877,2744,3,false,1,1,1,1,1,2,0,1,10,1
false,18879,392,3,false,1,1,1,18,0,18,18,2,12,1
false,18880,393,3,false,1,2,1,2,6,8,-4,2,12,1
