degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,012166803a08eb825ae90495f2728e06c45b9811,false,10,14,1,110,28,138,82,30,13,3
false,013ac44d3a64d53ab9e131cb43124fcbc0873caf,false,1,3,1,14,13,27,1,11,11,2
false,02703e8fc1cf1560fccc7ebd804b274d24acb1b3,false,1,1,1,6,3,9,3,1,10,7
false,041d37e0c8b3616dc86468bd2c3b6332638bdf1b,false,3,3,1,16,9,25,7,7,14,2
false,053c512f6de708f1bb3f402cf6d911f88b1d38aa,false,1,1,1,1,1,2,0,1,8,2
false,06e250e493ddbff674d1ec11deb12541f93d6519,false,1,1,1,11,35,46,-24,2,14,3
false,0928e283851031cec2425c788269e6b163e5e1e7,false,1,1,1,4,4,8,0,2,18,2
false,097ea8b5b5f494ffbe4fe0b49931c071ff440e4f,true,1,1,1,42,67,109,-25,14,3,1
false,0bbc3facec1fa6c83b0bec04bdfbefc424230a3f,true,1,1,1,7,2,9,5,2,8,5
false,0f6cc0cc7bcc546c124ed875d197f0333bca2da9,true,1,1,1,7,2,9,5,2,10,2
false,0fc66a411f6820f8ac45fc0ec3a0433c3f90db82,false,1,1,1,2,2,4,0,2,14,6
false,11a235ffe94e75d23b7d745f8c3e47b031629e6a,false,1,1,1,84,3,87,81,8,11,7
false,11f95c78e203084ad367c7fcb546f5374e073d3b,false,1,1,1,136,77,213,59,21,14,6
false,1278467fec2900bfb578f912218e746596b968ca,true,1,2,1,72,1,73,71,5,16,6
false,13d65d7ccfcaa90f8e905e9b6c46aa0f246d8109,false,1,1,1,18,0,18,18,3,18,5
false,13fd69e8712acd337570aad2c153cf4b2bc9b586,false,1,4,2,602,52,654,550,21,15,7
false,14600167d6ddc3829831a5470d73f091fc4b9aa7,false,1,1,1,4,2,6,2,1,19,7
false,15279b2525f694d1789ce06d74cf2d55a9a64e01,true,1,1,1,30,27,57,3,1,14,6
false,1547876e97e9babc17f683e8a47894757a4e1bee,false,1,3,1,12,10,22,2,4,8,6
false,17ba35b6d0bcb70aa38a3ae4cfd37efdec72943c,false,1,1,1,6,17,23,-11,1,16,2
false,19c92ceb59b8f2c77511b49cb3e0e9f70c50a711,false,1,2,1,59,31,90,28,19,14,6
false,1fcd19a28fbab687eb2be65ad3535d1564d656cc,false,1,1,1,15,3,18,12,2,19,7
false,206dc2a3918d3754b8d9b4b73f107a085377a2d0,true,1,1,1,15,9,24,6,5,9,6
false,22f16e52bf0fe9b445573a750eb28dfcbb929518,false,2,3,1,17,8,25,9,4,7,2
false,237ba27499e102c6ad43d6111590a6c43570a660,false,1,1,1,1,1,2,0,1,23,2
false,23baef8fb48fa363ffd0ed9f5d803a36a05e715f,false,1,2,1,242,4,246,238,3,7,5
false,241f856cc721dbf786321a94c987c5026eea5412,false,2,3,1,32,53,85,-21,8,23,5
false,25c226a8357d324fb201b1150a3d629f3917d18d,false,6,12,1,106,24,130,82,27,21,6
false,25f96b164498988439c38baf6ff4c57763464824,false,1,2,1,29,4,33,25,4,11,2
false,2aa35922b47f6c65a5f6114965d33cdd8078e197,true,1,1,1,13,0,13,13,2,19,7
false,2b3ac3d446c9cc9a0f080fd4aabb9bbe3906d212,false,3,3,1,127,89,216,38,19,12,5
false,2b9a07cac90f7a5a5e6e5fb7859ae19e6c11323c,false,1,2,1,25,3,28,22,2,7,5
false,32e28950e18287283437856738652d9f9bda8ab6,false,1,1,1,47,46,93,1,3,16,2
