# List of all commits from classes found during the repository mining phase (blamed or not)
65
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
287e86b7aa787c9836fccbe2816dd08b4b6c599e,false,Greg Wilkins,Qui 07-Ago-2014 12:58:12 +1000,4,20,249,304,553,-55,32,1,0
30123607c66627f74c8e8f7bed372f6e9b99ec31,false,Greg Wilkins,Qui 24-Jul-2014 15:49:52 +1000,11,43,821,938,1759,-117,133,1,0
31e448ffd677d9360c4132a63b08fe53c860cf7c,false,Greg Wilkins,Sex 24-Out-2014 15:51:20 +1100,8,23,279,253,532,26,117,1,0
33435fad3d8e1e12ab85873d842f2f8d580b567a,false,Joakim Erdfelt,Qui 31-Jul-2014 15:16:44 -0700,1,1,2,1,3,1,1,1,0
3832a8645d858de657a46859ca2ae841c8afb285,false,Simone Bordet,Ter 17-Jun-2014 18:52:42 +0200,1,3,119,37,156,82,8,1,0
38501a9e978335c63ed52555f8b6d2d8e4f138f8,false,Joakim Erdfelt,Sex 01-Ago-2014 14:34:21 -0700,1,1,5,0,5,5,2,1,0
395ecd2b70fcbc4719441bdf9ff521b7ef5c7a61,false,Simone Bordet,Ter 14-Out-2014 20:40:13 +0200,1,2,38,59,97,-21,11,1,0
3c321e9b8f049c96ecb7e9b35c1cddebef71673c,false,Greg Wilkins,Seg 09-Jun-2014 15:34:09 +0200,4,10,157,53,210,104,26,1,0
3e4c9909e0b74f9abeb24398b8e9b1de11052bbf,true,Joakim Erdfelt,Qua 10-Set-2014 10:04:23 -0700,4,5,164,8,172,156,11,1,443652
3fcb910c1aa40929da0de5b9c0fc4f2e0349aaa8,false,Greg Wilkins,Ter 17-Jun-2014 19:02:44 +0200,2,6,154,77,231,77,9,1,0
40a7d5984e41be6033304b42a944efacfe5c76fc,true,Greg Wilkins,Sex 19-Set-2014 09:49:09 +1000,1,3,84,4,88,80,3,1,444222
40d84ff1e37d1f562a030dae002a10b418882e1b,true,Greg Wilkins,Qua 10-Set-2014 17:40:50 +1000,4,6,29,13,42,16,16,1,443662
49a32eb1b0da23229441cd2f199ec57caab46cbc,true,Jan Bartel,Qui 18-Set-2014 18:02:18 +1000,1,1,67,9,76,58,8,1,444124
4d2a580c2c8ca054841697a9d8848bdceb1c97f9,true,Greg Wilkins,Sex 11-Jul-2014 17:56:08 +1000,8,19,120,125,245,-5,44,1,439375
4d7ead76ce0e24c0a1f180a8fd218bc251068a29,false,Greg Wilkins,Sex 08-Ago-2014 17:00:47 +1000,3,4,17,1,18,16,4,1,0
58ed30e7103f1c86d1da9702e918795b30b93a27,false,Greg Wilkins,Dom 08-Jun-2014 11:09:56 +0200,3,7,516,125,641,391,13,1,0
5da7c29787e901a96388c5695a9595932f0e3a58,false,Greg Wilkins,Qua 22-Out-2014 10:29:41 +1100,1,1,35,16,51,19,5,1,0
6048343fee5f5fd9b845ccf12d285c69d5aae182,false,Joakim Erdfelt,Qui 31-Jul-2014 10:09:53 -0700,1,3,148,36,184,112,11,1,0
6268421dd039a2c272113427852b4d81c383c7c2,false,Simone Bordet,Qui 16-Out-2014 18:05:12 +0200,70,631,159489,10930,170419,148559,1595,1,0
649eb7f3dc7ca8035fda8c1b33b62c3af19113be,false,Simone Bordet,Qui 09-Out-2014 10:08:15 +0200,1,1,6,1,7,5,1,1,0
6a6c8bacda1e64b1be2bf561db92b99e50148126,false,Jan Bartel,Qui 16-Out-2014 19:02:21 +1100,1,1,17,14,31,3,1,1,0
6dfa452e29ca3ea5ee63552f9cefb0dd07899fa3,false,Greg Wilkins,Qui 07-Ago-2014 19:00:31 +1000,4,6,14,10,24,4,14,1,0
738c47bc553d7e90a0d074b99aff5e666d26a7c2,false,Greg Wilkins,Sex 24-Out-2014 08:17:05 +1100,8,63,3907,4453,8360,-546,78,1,447515
85cb290e1c69c4ba5df04df8ee5ab433fe099719,false,Greg Wilkins,Ter 17-Jun-2014 15:39:55 +0200,2,5,79,29,108,50,7,1,0
87cac64dffad79d1eb1fcc4964374bd774242384,false,Simone Bordet,Qua 10-Set-2014 10:37:51 +0200,1,1,30,36,66,-6,2,1,0
8905b979ec3ed1ccd1a02374e44bb50b5aa36767,false,Greg Wilkins,Seg 28-Jul-2014 15:27:17 +1000,1,1,73,58,131,15,58,1,0
8d2efaf7eb3c8cb901d83bb19041f35ea770d6f6,true,Simone Bordet,Sex 26-Set-2014 09:46:14 +0200,16,27,120,121,241,-1,62,1,445167
97d723c516b4a98cd80ecef90b1fcd1bfaabdf08,false,Greg Wilkins,Sex 01-Ago-2014 10:45:11 +1000,1,1,2,0,2,2,1,1,0
9c3eedfea8b49e6c9e0c4b249a415721a0ebd9e9,false,Greg Wilkins,Qui 31-Jul-2014 13:26:23 +1000,3,9,198,182,380,16,22,1,0
9f844383cdb528d67ec69895dd8c6117b6e36e13,false,Joakim Erdfelt,Qua 25-Jun-2014 14:11:44 -0700,3,11,536,415,951,121,25,1,0
a00e65cb1f14f048db93b594da7ed0de22a1d353,false,Greg Wilkins,Ter 05-Ago-2014 17:43:31 +1000,1,1,8,3,11,5,1,1,0
a4d4b3ab571fa56b02d611f2b565d03ccccb1347,false,Greg Wilkins,Qui 07-Ago-2014 09:22:22 +1000,2,2,14,1,15,13,2,1,0
a6e00bc6425fe23b7434153cbd18fb4235106772,false,Greg Wilkins,Qui 30-Out-2014 14:36:50 +1100,70,675,162094,15005,177099,147089,1676,1,0
a906aaa266352e19afff373fe353a8810532b95d,false,Greg Wilkins,Sex 17-Out-2014 14:16:48 +1100,2,2,86,55,141,31,8,1,0
aaa2e5c6c1d6d34f8068dc9a056a6b446fd05603,false,Greg Wilkins,Sáb 02-Ago-2014 12:58:24 +1000,4,9,124,57,181,67,20,1,0
b5971484a57212a39af6f70267ea00a24fdbf100,false,Greg Wilkins,Qua 06-Ago-2014 10:50:55 +1000,9,14,123,17,140,106,23,1,0
bbd61f8e192b0af9cf7c4aae51a65e5cd07c863c,false,Greg Wilkins,Qua 11-Jun-2014 15:16:40 +0200,6,18,601,570,1171,31,55,1,0
bec34b460fc370d10b3bc92bee5a09a1787c6f8f,false,Greg Wilkins,Ter 05-Ago-2014 17:26:27 +1000,5,37,265,157,422,108,78,1,0
c319c1912574f968107ec60d58f8bcabc6a7db2b,false,Greg Wilkins,Qua 11-Jun-2014 16:53:17 +0200,2,5,216,119,335,97,29,1,0
c80f5561392d951c36ad922146228378ecb27e43,false,Greg Wilkins,Ter 09-Set-2014 15:13:46 +0200,1,1,1,1,2,0,1,1,0
c8ee504291a6f1079039fa606e8ded6bd0fd7444,false,Greg Wilkins,Qui 03-Jul-2014 15:53:12 +1000,1,1,4,0,4,4,1,1,0
cd59d0085ed5f3a224984795a3daf353fd8d1b0c,false,Greg Wilkins,Sáb 02-Ago-2014 15:40:15 +1000,2,4,87,55,142,32,14,1,0
d19eef34035b3afcdf45ccd49bd191d3146f600b,false,Greg Wilkins,Qua 04-Jun-2014 12:05:31 +0200,2,6,152,5,157,147,9,1,0
d45a5c861c88e35513b79e97fc56fd3a1fa5731d,false,Simone Bordet,Qua 10-Set-2014 10:39:15 +0200,1,1,11,5,16,6,5,1,0
d7f2c42e2d1a0af6e7786537fb13a0afed6f9403,false,Greg Wilkins,Ter 05-Ago-2014 12:55:12 +1000,2,7,160,114,274,46,24,1,0
d7fbd89a75b915cb62154f327d3b6b0bd6ba2fcc,false,Greg Wilkins,Seg 09-Jun-2014 01:11:04 +0200,2,7,332,28,360,304,15,1,0
d8e6331434fbb6025301f06f03230c6f6cad7676,true,Greg Wilkins,Qua 27-Ago-2014 17:33:27 +1000,2,3,23,55,78,-32,8,1,442477
e3bda4efbefa2370d7d9b594aa97dc60a2b37235,false,Greg Wilkins,Sex 31-Out-2014 13:29:38 +1100,3,10,368,47,415,321,19,1,446564
e5c1d66916549c0b796d1ae17c6b8609d5338b8d,false,Greg Wilkins,Sex 22-Ago-2014 16:25:20 +1000,2,3,16,8,24,8,3,1,0
eaf374fa582e07f6d49184b09d72dfe84d7ace1e,false,Greg Wilkins,Sex 25-Jul-2014 17:28:35 +1000,7,15,213,153,366,60,59,1,0
ec79a6f88ebdcd9f18953ffd29febc57720f691a,false,Greg Wilkins,Qui 16-Out-2014 12:29:08 +1100,6,12,402,208,610,194,54,1,0
f594a6fc661ae3590c8fdb9e5255e1b7b65f8229,false,Greg Wilkins,Sex 11-Jul-2014 16:08:18 +1000,1,2,219,15,234,204,3,1,0
fd1c9dd8d2c298ba66ae1b3b98bc85719cdefb41,false,Simone Bordet,Qua 10-Set-2014 16:34:25 +0200,1,2,201,56,257,145,8,1,443713
