65
Degradation,Revision,Bug Fixing,Number of Packages,Number of Files,Number of Issues,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Hour of Day,Day of Week
false,4d7ead76ce0e24c0a1f180a8fd218bc251068a29,false,3,4,1,17,1,18,16,4,17,6
false,58ed30e7103f1c86d1da9702e918795b30b93a27,false,3,7,1,516,125,641,391,13,11,1
false,5da7c29787e901a96388c5695a9595932f0e3a58,false,1,1,1,35,16,51,19,5,10,4
false,6048343fee5f5fd9b845ccf12d285c69d5aae182,false,1,3,1,148,36,184,112,11,10,5
false,6268421dd039a2c272113427852b4d81c383c7c2,false,0,1,1,7,6,13,1,2,18,5
false,6a6c8bacda1e64b1be2bf561db92b99e50148126,false,1,1,1,17,14,31,3,1,19,5
false,6dfa452e29ca3ea5ee63552f9cefb0dd07899fa3,false,4,6,1,14,10,24,4,14,19,5
false,738c47bc553d7e90a0d074b99aff5e666d26a7c2,false,8,41,1,734,1280,2014,-546,132,8,6
false,85cb290e1c69c4ba5df04df8ee5ab433fe099719,false,2,5,1,79,29,108,50,7,15,3
false,87cac64dffad79d1eb1fcc4964374bd774242384,false,1,1,1,30,36,66,-6,2,10,4
false,8905b979ec3ed1ccd1a02374e44bb50b5aa36767,false,1,1,1,73,58,131,15,58,15,2
false,8d2efaf7eb3c8cb901d83bb19041f35ea770d6f6,true,16,27,1,120,121,241,-1,62,9,6
false,97d723c516b4a98cd80ecef90b1fcd1bfaabdf08,false,1,1,1,2,0,2,2,1,10,6
false,9c3eedfea8b49e6c9e0c4b249a415721a0ebd9e9,false,3,9,1,198,182,380,16,22,13,5
false,9f844383cdb528d67ec69895dd8c6117b6e36e13,false,3,11,1,536,415,951,121,25,14,4
false,a00e65cb1f14f048db93b594da7ed0de22a1d353,false,1,1,1,8,3,11,5,1,17,3
false,a4d4b3ab571fa56b02d611f2b565d03ccccb1347,false,2,2,1,14,1,15,13,2,9,5
false,a6e00bc6425fe23b7434153cbd18fb4235106772,false,1,1,1,24,2,26,22,2,14,5
false,a906aaa266352e19afff373fe353a8810532b95d,false,2,2,1,86,55,141,31,8,14,6
false,aaa2e5c6c1d6d34f8068dc9a056a6b446fd05603,false,4,9,1,124,57,181,67,20,12,7
false,b5971484a57212a39af6f70267ea00a24fdbf100,false,9,14,1,123,17,140,106,23,10,4
false,bbd61f8e192b0af9cf7c4aae51a65e5cd07c863c,false,6,18,1,541,604,1145,-63,55,15,4
false,bec34b460fc370d10b3bc92bee5a09a1787c6f8f,false,5,37,1,265,157,422,108,78,17,3
false,c319c1912574f968107ec60d58f8bcabc6a7db2b,false,2,5,1,216,119,335,97,29,16,4
false,c80f5561392d951c36ad922146228378ecb27e43,false,1,1,1,1,1,2,0,1,15,3
false,c8ee504291a6f1079039fa606e8ded6bd0fd7444,false,1,1,1,4,0,4,4,1,15,5
false,cd59d0085ed5f3a224984795a3daf353fd8d1b0c,false,2,4,1,87,55,142,32,14,15,7
false,d19eef34035b3afcdf45ccd49bd191d3146f600b,false,2,6,1,152,5,157,147,9,12,4
false,d45a5c861c88e35513b79e97fc56fd3a1fa5731d,false,1,1,1,11,5,16,6,5,10,4
false,d7f2c42e2d1a0af6e7786537fb13a0afed6f9403,false,2,6,1,107,61,168,46,24,12,3
false,d7fbd89a75b915cb62154f327d3b6b0bd6ba2fcc,false,2,7,1,332,28,360,304,15,1,2
false,d8e6331434fbb6025301f06f03230c6f6cad7676,true,2,3,1,23,55,78,-32,8,17,4
false,e3bda4efbefa2370d7d9b594aa97dc60a2b37235,false,3,10,1,368,47,415,321,19,13,6
false,e5c1d66916549c0b796d1ae17c6b8609d5338b8d,false,2,3,1,16,8,24,8,3,16,6
false,eaf374fa582e07f6d49184b09d72dfe84d7ace1e,false,7,15,1,213,153,366,60,59,17,6
false,ec79a6f88ebdcd9f18953ffd29febc57720f691a,false,6,12,1,402,208,610,194,54,12,5
false,f594a6fc661ae3590c8fdb9e5255e1b7b65f8229,false,1,2,1,219,15,234,204,3,16,6
false,fd1c9dd8d2c298ba66ae1b3b98bc85719cdefb41,false,1,2,1,201,56,257,145,8,16,4
true,0539b48b8a9311e56e99568758f798b83c2ff0f0,false,3,4,1,15,41,56,-26,9,15,3
true,3e4c9909e0b74f9abeb24398b8e9b1de11052bbf,true,4,5,1,164,8,172,156,11,10,4
true,49a32eb1b0da23229441cd2f199ec57caab46cbc,true,1,1,1,67,9,76,58,8,18,5
true,649eb7f3dc7ca8035fda8c1b33b62c3af19113be,false,1,1,1,6,1,7,5,1,10,5
