# List of all commits from changed methods found during the repository mining phase (blamed or not)
38
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
5416f2315e222acf8d9a36a51bcd4142a0f1c022,true,Norman Maurer,Sex 30-Ago-2013 09:51:12 +0200,1,15,90,13,103,77,19,1,1797
2b9a07cac90f7a5a5e6e5fb7859ae19e6c11323c,false,Norman Maurer,Qui 26-Set-2013 07:04:53 +0200,1,2,25,3,28,22,2,1,0
25c226a8357d324fb201b1150a3d629f3917d18d,false,Norman Maurer,Sex 16-Ago-2013 21:53:47 +0200,6,12,106,24,130,82,27,1,0
451e91d1429c08ce8f92bb8ce0b9ad8c28afb904,true,Norman Maurer,Seg 09-Set-2013 20:29:30 +0200,1,2,13,2,15,11,3,1,1821
59c2fd881318b5c421983881e68889225e0a4d18,false,bgallagher,Sex 09-Ago-2013 16:24:14 -0400,1,1,12,9,21,3,1,1,1723
ae904a1f56d80cb3f4ad160006c05319e73d173a,true,Norman Maurer,Ter 24-Set-2013 11:42:58 +0200,5,5,26,5,31,21,13,1,1830
a2624a833e92a99d5ef50e30eea9743a873c0392,false,Sasha Zverev,Sex 20-Set-2013 16:35:28 +0400,1,1,1,1,2,0,1,1,0
5ddd7cee90d5b59ebacdc3da6a25f548646eddad,true,Norman Maurer,Qui 29-Ago-2013 11:14:36 +0200,1,2,11,0,11,11,3,1,1797
fb619f23947aab158a11730e00f4dbd490093669,false,bgallagher,Qua 21-Ago-2013 10:12:58 -0400,1,5,383,37,420,346,16,1,0
af499b5fb4862041962cba2e00670ad415130897,false,Norman Maurer,Dom 08-Set-2013 20:11:51 +0200,1,4,24,0,24,24,4,1,1808
013ac44d3a64d53ab9e131cb43124fcbc0873caf,false,Bill Gallagher,Seg 30-Set-2013 11:33:12 -0400,1,3,14,13,27,1,11,1,1832
6a2f340ec0187ba68eee869863357b74b6e8c6bf,false,bgallagher,Qua 21-Ago-2013 13:28:37 -0400,1,1,22,10,32,12,3,1,0
80d30c3dd81a4409a3abaf04d7bff0525d4ad166,false,Norman Maurer,Seg 26-Ago-2013 07:52:47 +0200,5,7,12,10,22,2,8,1,0
de44917e62c6ccadb2ae4cf62009f3fa0ad71827,false,Norman Maurer,Dom 04-Ago-2013 14:14:37 +0200,1,1,43,6,49,37,3,1,0
b8866aef330403353285486bbf5c0342b6c6a998,false,Norman Maurer,Sex 30-Ago-2013 06:31:58 +0200,1,1,7,2,9,5,4,1,0
23baef8fb48fa363ffd0ed9f5d803a36a05e715f,false,Norman Maurer,Qui 19-Set-2013 07:29:21 +0200,1,2,242,4,246,238,3,1,1853
9d8c4ded50702fdacb75a89e65471627095723ac,false,Norman Maurer,Sex 09-Ago-2013 13:30:04 +0200,1,1,5,5,10,0,2,1,0
