264
Degradation,Revision,Bug Fixing,Number of Packages,Number of Files,Number of Issues,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Hour of Day,Day of Week
false,18724,false,1,1,1,1,1,2,0,1,18,2
false,18725,false,1,1,1,11,84,95,-73,7,7,6
false,18726,false,4,5,1,52,33,85,19,18,8,6
false,18727,true,3,3,1,46,6,52,40,9,8,6
false,18728,false,5,14,1,130,65,195,65,39,9,6
false,18729,false,11,18,1,301,183,484,118,46,16,6
false,18730,false,1,1,1,6,3,9,3,1,3,7
false,18736,true,1,1,1,31,26,57,5,2,16,2
false,18758,true,2,2,1,13,4,17,9,2,12,6
false,18759,true,1,1,1,44,15,59,29,4,17,6
false,18760,false,10,27,1,399,319,718,80,72,5,7
false,18766,false,1,3,1,52,11,63,41,9,23,7
false,18767,true,1,5,1,116,15,131,101,15,23,7
false,18770,true,1,1,1,4,9,13,-5,2,8,2
false,18786,false,1,1,1,23,23,46,0,2,20,1
false,18816,false,1,1,1,25,3,28,22,3,15,4
false,18846,false,1,1,1,6,4,10,2,3,7,3
false,18852,false,9,39,1,660,454,1114,206,158,19,7
false,18859,false,2,4,1,1,18,19,-17,5,21,2
false,18863,false,3,3,1,36,1,37,35,3,9,6
false,18864,false,1,2,1,22,0,22,22,2,9,6
false,18875,false,1,2,1,22,8,30,14,3,17,7
false,18876,false,1,1,1,15,1,16,14,2,17,7
false,18877,false,1,1,1,1,1,2,0,1,10,1
false,18879,false,1,1,1,18,0,18,18,2,12,1
false,18880,false,1,2,1,2,6,8,-4,2,12,1
false,18883,false,1,1,1,2,7,9,-5,3,12,1
false,18885,false,3,3,1,36,0,36,36,4,12,1
false,18900,false,1,1,1,6,1,7,5,1,22,3
false,18917,false,1,1,1,1,0,1,1,1,9,1
false,18919,false,1,1,1,16,0,16,16,2,15,1
false,18921,false,1,1,1,3,3,6,0,3,18,4
false,18923,true,1,1,1,2,1,3,1,1,12,7
false,18967,true,1,1,1,21,18,39,3,6,23,3
false,18968,true,5,8,1,29,22,51,7,14,14,5
false,19034,false,1,4,1,47,289,336,-242,5,18,1
false,19036,false,1,4,1,11,11,22,0,8,18,1
false,19037,true,1,1,1,110,2,112,108,4,22,4
false,19038,false,3,3,1,58,4,62,54,8,16,5
false,19043,true,1,1,1,13,1,14,12,2,14,1
false,19044,false,3,3,1,41,11,52,30,5,22,2
false,19046,false,2,3,1,22,2,24,20,6,22,2
false,19047,false,1,1,1,78,51,129,27,12,22,2
false,19069,false,1,1,1,2,1,3,1,2,9,5
false,19070,false,1,1,1,16,6,22,10,2,9,5
false,19074,false,3,3,1,15,1,16,14,3,14,5
false,19082,false,1,1,1,39,6,45,33,5,9,2
false,19104,false,1,1,1,3,1,4,2,2,21,5
false,19108,false,1,1,1,4,0,4,4,1,8,5
false,19127,false,1,1,1,20,27,47,-7,7,14,5
false,19128,false,1,1,1,2,3,5,-1,1,18,5
false,19129,false,1,1,1,1,1,2,0,1,18,5
false,19135,false,8,15,1,431,147,578,284,26,15,6
false,19136,false,1,1,1,42,38,80,4,1,15,6
false,19137,false,4,10,1,215,24,239,191,19,17,6
false,19138,false,4,13,1,118,134,252,-16,24,19,6
false,19139,false,1,1,1,26,25,51,1,1,11,7
false,19140,false,5,16,1,191,65,256,126,30,11,7
false,19142,false,4,8,1,164,32,196,132,23,14,7
false,19145,false,3,6,1,90,14,104,76,16,16,4
false,19146,false,2,3,1,48,10,58,38,8,16,4
false,19148,false,1,1,1,11,2,13,9,3,17,4
false,19150,false,5,7,1,44,20,64,24,11,17,4
false,19151,false,6,10,1,20,21,41,-1,18,17,4
false,19152,false,4,6,1,6,6,12,0,6,17,4
false,19194,false,1,1,1,1,1,2,0,1,18,2
false,19197,true,1,1,1,6,2,8,4,1,21,4
false,19198,false,1,1,1,8,1,9,7,1,10,5
false,19203,false,2,5,1,186,5,191,181,7,21,1
false,19206,false,3,14,1,87,536,623,-449,38,8,2
false,19211,false,2,3,1,19,20,39,-1,8,11,2
false,19215,false,1,1,1,2,1,3,1,1,14,2
false,19216,false,1,1,1,1,8,9,-7,2,14,2
false,19224,true,1,1,1,9,1,10,8,1,21,3
false,19234,false,1,1,1,25,18,43,7,2,14,4
false,19236,false,1,1,1,18,7,25,11,4,18,4
false,19238,true,1,1,1,17,3,20,14,5,17,5
false,19260,false,3,4,1,262,4,266,258,11,7,3
false,19263,false,1,1,1,5,3,8,2,4,7,4
false,19264,false,2,6,1,347,18,365,329,41,13,4
false,19288,false,3,6,1,209,18,227,191,21,10,4
false,19320,false,2,5,1,94,14,108,80,22,6,3
false,19351,false,1,1,1,1,0,1,1,1,5,5
false,19355,true,2,2,1,23,14,37,9,6,6,6
false,19358,false,3,3,1,76,6,82,70,6,11,7
false,19370,false,2,4,1,17,10,27,7,5,13,7
false,19372,false,1,2,1,5,4,9,1,2,14,7
false,19378,false,1,1,1,40,47,87,-7,3,9,1
false,19381,false,1,1,1,3,3,6,0,2,18,1
false,19382,false,3,7,1,56,9,65,47,16,12,2
false,19384,false,3,6,1,115,17,132,98,12,19,2
false,19385,false,3,4,1,338,17,355,321,8,19,2
false,19391,false,1,1,1,74,79,153,-5,17,17,3
false,19392,false,1,1,1,34,31,65,3,1,17,3
false,19409,false,3,8,1,85,16,101,69,18,18,4
false,19410,false,2,2,1,52,26,78,26,3,18,4
false,19411,false,1,2,1,8,2,10,6,4,18,4
false,19412,false,1,1,1,3,3,6,0,2,6,6
false,19413,false,4,6,1,137,22,159,115,23,6,6
false,19416,false,3,3,1,15,19,34,-4,4,8,6
false,19418,false,2,2,1,53,5,58,48,6,11,6
false,19420,false,3,8,1,130,21,151,109,20,17,6
false,19421,false,5,8,1,86,22,108,64,13,17,6
false,19422,true,1,1,1,5,0,5,5,1,18,6
false,19425,false,2,2,1,49,1,50,48,9,7,7
false,19428,false,1,1,1,3,0,3,3,1,17,1
false,19435,false,3,6,1,126,15,141,111,16,18,1
false,19440,false,3,6,1,31,0,31,31,6,11,2
false,19445,false,1,1,1,3,0,3,3,1,8,3
false,19449,false,3,3,1,26,4,30,22,11,9,3
false,19454,false,1,1,1,49,23,72,26,1,10,3
false,19459,false,1,1,1,9,7,16,2,2,22,4
false,19463,false,1,1,1,11,3,14,8,2,7,5
false,19466,false,3,3,1,233,1,234,232,13,10,5
false,19473,false,1,1,1,14,44,58,-30,4,10,6
false,19479,false,1,14,1,15,15,30,0,14,16,7
false,19501,false,4,5,1,46,40,86,6,9,10,3
false,19502,false,3,4,1,16,1,17,15,6,11,3
false,19503,false,3,4,1,24,6,30,18,5,11,3
false,19507,true,1,1,1,8,1,9,7,3,12,4
false,19510,false,1,1,1,1,5,6,-4,1,13,4
false,19511,false,3,3,1,26,59,85,-33,5,17,4
false,19512,false,2,2,1,75,65,140,10,15,18,4
false,19544,false,1,1,1,4,2,6,2,1,12,2
false,19577,false,2,87,1,287,46,333,241,171,20,4
false,19579,true,1,2,1,5,7,12,-2,3,19,3
false,19583,false,1,2,1,12,16,28,-4,2,19,3
false,19590,true,1,1,1,7,5,12,2,3,6,3
false,19615,true,1,1,1,15,14,29,1,1,23,4
false,19623,false,1,1,1,1,1,2,0,1,15,7
false,19630,false,1,3,1,1,29,30,-28,4,7,6
false,19659,false,3,3,1,63,53,116,10,12,10,2
false,19689,true,1,1,1,5,3,8,2,3,6,4
false,19716,true,1,3,1,96,4,100,92,9,11,6
false,19741,true,1,1,1,1,0,1,1,1,14,7
